Rec(t='1489788292.38',,event='start',piece='None',move_nu='0',move='None',instance='Jam-2')|9|51512|543548|150489|1172
Rec(t='1489788316.78', event='commit_move', piece='g', move_nu='0', move='(3, 4, 2)', instance='Jam-2')|8|11305|116367|42476|624
Rec(t='1489788319.85', event='commit_move', piece='o', move_nu='1', move='(5, 3, 3)', instance='Jam-2')|7|1182|11964|5343|218
Rec(t='1489788332.01', event='commit_move', piece='y', move_nu='2', move='(1, 0, 3)', instance='Jam-2')|7|1865|19140|7829|290
Rec(t='1489788334.77', event='commit_move', piece='M', move_nu='3', move='(4, 0, 2)', instance='Jam-2')|6|424|4239|2066|138
Rec(t='1489788363.69', event='commit_move', piece='w', move_nu='4', move='(2, 3, 3)', instance='Jam-2')|6|387|4028|2035|124
Rec(t='1489788366.16', event='commit_move', piece='r', move_nu='5', move='(1, 2, 2)', instance='Jam-2')|5|138|1455|845|69
Rec(t='1489788369.72', event='commit_move', piece='b', move_nu='6', move='(0, 3, 2)', instance='Jam-2')|4|37|374|249|25
Rec(t='1489788373.43', event='commit_move', piece='y', move_nu='7', move='(0, 0, 3)', instance='Jam-2')|3|11|114|87|10
Rec(t='1489788376.39', event='commit_move', piece='c', move_nu='8', move='(3, 0, 2)', instance='Jam-2')|2|4|48|41|4
Rec(t='1489788378.5', event='commit_move', piece='r', move_nu='9', move='(4, 2, 2)', instance='Jam-2')|1|0|0|0|0
Rec(t='1489788378.5', event='win', piece='r', move_nu='9', move='(4, 2, 2)', instance='Jam-2')|1|0|0|0|0
Rec(t='1489788381.34', event='start', piece='None', move_nu='0', move='None', instance='Jam-3'),15,19812|203321|20822|702||
Rec(t='1489788418.58', event='commit_move', piece='w', move_nu='0', move='(3, 0, 3)', instance='Jam-3')|14|11602|115439|9688|710
Rec(t='1489788429.35', event='commit_move', piece='b', move_nu='1', move='(3, 3, 2)', instance='Jam-3')|14|14804|148433|14775|710
Rec(t='1489788436.99', event='commit_move', piece='l', move_nu='2', move='(1, 3, 2)', instance='Jam-3')|13|12728|122459|9062|610
Rec(t='1489788440.73', event='commit_move', piece='B', move_nu='3', move='(0, 5, 2)', instance='Jam-3')|12|7690|72843|3825|526
Rec(t='1489788466.44', event='commit_move', piece='y', move_nu='4', move='(5, 0, 3)', instance='Jam-3')|11|8532|80333|4083|533
Rec(t='1489788469.62', event='commit_move', piece='b', move_nu='5', move='(4, 3, 2)', instance='Jam-3')|10|7161|68373|3667|531
Rec(t='1489788477.83', event='commit_move', piece='w', move_nu='6', move='(3, 3, 3)', instance='Jam-3')|9|5366|52346|6610|510
Rec(t='1489788505.32', event='commit_move', piece='r', move_nu='7', move='(0, 2, 2)', instance='Jam-3')|9|4967|47952|5152|504
Rec(t='1489788548.93', event='commit_move', piece='w', move_nu='8', move='(3, 0, 3)', instance='Jam-3')|10|6341|60925|2868|534
Rec(t='1489788551.28', event='commit_move', piece='b', move_nu='9', move='(2, 3, 2)', instance='Jam-3')|11|8595|81178|2901|527
Rec(t='1489788554.75', event='commit_move', piece='y', move_nu='10', move='(5, 3, 3)', instance='Jam-3')|12|7702|72676|3090|532
Rec(t='1489788592.1', event='commit_move', piece='B', move_nu='11', move='(3, 5, 2)', instance='Jam-3')|13|12543|120156|6621|610
Rec(t='1489788595.04', event='commit_move', piece='l', move_nu='12', move='(1, 4, 2)', instance='Jam-3')|14|14911|149291|10977|710
Rec(t='1489788604.81', event='commit_move', piece='b', move_nu='13', move='(0, 3, 2)', instance='Jam-3')|14|10996|109899|9184|706
Rec(t='1489788719.05', event='commit_move', piece='B', move_nu='14', move='(2, 5, 2)', instance='Jam-3')|14|11595|115222|9366|704
Rec(t='1489788728.57', event='commit_move', piece='y', move_nu='15', move='(5, 0, 3)', instance='Jam-3')|13|13766|134959|9194|704
Rec(t='1489788737.56', event='commit_move', piece='b', move_nu='16', move='(4, 3, 2)', instance='Jam-3')|12|9491|92183|5537|706
Rec(t='1489788749.9', event='commit_move', piece='B', move_nu='17', move='(4, 5, 2)', instance='Jam-3')|11|8604|83907|4659|708
Rec(t='1489788776.68', event='commit_move', piece='w', move_nu='18', move='(3, 3, 3)', instance='Jam-3')|10|10697|104036|5739|704
Rec(t='1489788789.12', event='commit_move', piece='r', move_nu='19', move='(1, 2, 2)', instance='Jam-3')|10|10417|100843|4720|705
Rec(t='1489788793.35', event='commit_move', piece='w', move_nu='20', move='(3, 0, 3)', instance='Jam-3')|11|8757|85856|3781|703
Rec(t='1489788798.2', event='commit_move', piece='b', move_nu='21', move='(0, 3, 2)', instance='Jam-3')|12|9717|93244|3565|702
Rec(t='1489788803.22', event='commit_move', piece='w', move_nu='22', move='(3, 3, 3)', instance='Jam-3')|13|9126|89871|3645|706
Rec(t='1489788808.88', event='commit_move', piece='y', move_nu='23', move='(5, 2, 3)', instance='Jam-3')|14|12292|122049|6230|704
Rec(t='1489788812.33', event='commit_move', piece='r', move_nu='24', move='(3, 2, 2)', instance='Jam-3')|15|17020|178325|16997|703
Rec(t='1489788827.37', event='commit_move', piece='r', move_nu='25', move='(1, 2, 2)', instance='Jam-3')|14|12236|121644|8141|705
Rec(t='1489788830.44', event='commit_move', piece='w', move_nu='26', move='(3, 0, 3)', instance='Jam-3')|13|10449|100210|4567|702
Rec(t='1489788834.12', event='commit_move', piece='B', move_nu='27', move='(2, 5, 2)', instance='Jam-3')|14|15349|153043|9639|710
Rec(t='1489788837.56', event='commit_move', piece='y', move_nu='28', move='(5, 3, 3)', instance='Jam-3')|14|11258|112158|9544|707
Rec(t='1489788912.89', event='commit_move', piece='y', move_nu='29', move='(5, 1, 3)', instance='Jam-3')|14|16155|160299|13191|710
Rec(t='1489788925.45', event='commit_move', piece='B', move_nu='30', move='(4, 5, 2)', instance='Jam-3')|13|10062|97145|4776|702
Rec(t='1489788928.72', event='commit_move', piece='w', move_nu='31', move='(3, 3, 3)', instance='Jam-3')|14|12664|125557|6348|710
Rec(t='1489788935.57', event='commit_move', piece='r', move_nu='32', move='(3, 2, 2)', instance='Jam-3')|15|17548|182902|16656|710
Rec(t='1489788975.49', event='commit_move', piece='r', move_nu='33', move='(1, 2, 2)', instance='Jam-3')|14|12609|125498|8546|710
Rec(t='1489788979.34', event='commit_move', piece='w', move_nu='34', move='(3, 0, 3)', instance='Jam-3')|13|10644|103756|4554|702
