Rec(t='1493057197.61', event='start', piece='None', move_nu='0', move='None', instance='Jam-2'),9,50895,536843,149493,1171
Rec(t='1493057217.26', event='commit_move', piece='y', move_nu='0', move='(1, 0, 3)', instance='Jam-2'),9,69811,741255,192829,1387
Rec(t='1493057222.81', event='commit_move', piece='M', move_nu='1', move='(4, 0, 2)', instance='Jam-2'),8,13731,144131,47955,876
Rec(t='1493057231.71', event='commit_move', piece='o', move_nu='2', move='(5, 0, 3)', instance='Jam-2'),8,14632,154478,53314,1036
Rec(t='1493057236.08', event='commit_move', piece='g', move_nu='3', move='(3, 4, 2)', instance='Jam-2'),7,3161,32898,13674,436
Rec(t='1493057241.43', event='commit_move', piece='o', move_nu='4', move='(5, 3, 3)', instance='Jam-2'),6,452,4562,2250,145
Rec(t='1493057257.51', event='commit_move', piece='c', move_nu='5', move='(3, 2, 2)', instance='Jam-2'),6,278,2712,1452,103
Rec(t='1493057267.58', event='commit_move', piece='M', move_nu='6', move='(4, 2, 2)', instance='Jam-2'),7,1438,14298,4402,223
Rec(t='1493057273.3', event='commit_move', piece='r', move_nu='7', move='(1, 2, 2)', instance='Jam-2'),6,383,3757,1913,114
Rec(t='1493057281.94', event='commit_move', piece='b', move_nu='8', move='(0, 1, 2)', instance='Jam-2'),5,91,900,560,44
Rec(t='1493057288.11', event='commit_move', piece='y', move_nu='9', move='(0, 0, 3)', instance='Jam-2'),4,20,195,138,16
Rec(t='1493057293.64', event='commit_move', piece='c', move_nu='10', move='(3, 0, 2)', instance='Jam-2'),3,7,73,58,7
Rec(t='1493057297.83', event='commit_move', piece='M', move_nu='11', move='(4, 0, 2)', instance='Jam-2'),2,3,37,32,3
Rec(t='1493057302.6', event='commit_move', piece='r', move_nu='12', move='(4, 2, 2)', instance='Jam-2'),2,0,0,0,0
Rec(t='1493057304.91', event='start', piece='None', move_nu='0', move='None', instance='Jam-3'),15,19985,204326,20836,709
Rec(t='1493057315.57', event='commit_move', piece='w', move_nu='0', move='(3, 0, 3)', instance='Jam-3'),14,11299,112396,9129,706
Rec(t='1493057326.09', event='commit_move', piece='b', move_nu='1', move='(0, 3, 2)', instance='Jam-3'),14,11436,114163,9223,710
Rec(t='1493057337.75', event='commit_move', piece='B', move_nu='2', move='(3, 5, 2)', instance='Jam-3'),14,11548,115176,9568,710
Rec(t='1493057351.99', event='commit_move', piece='w', move_nu='3', move='(3, 2, 3)', instance='Jam-3'),15,20090,205226,15545,702
