puzzle,path,generated,expanded,close,open
Jam-1,8,123,10,10,88
Jam-1,8,150,13,13,96
Jam-1,8,110,9,9,81
Jam-1,8,112,9,9,80
Jam-1,8,143,12,12,96
Jam-1,8,92,8,8,68
Jam-1,8,140,12,12,93
Jam-1,8,138,12,12,90
Jam-1,8,129,11,11,88
Jam-1,8,111,9,9,81
Jam-1,8,139,12,12,92
Jam-1,8,100,8,8,75
Jam-1,8,135,12,12,89
Jam-1,8,136,12,12,88
Jam-1,8,103,9,9,75
Jam-1,8,137,12,12,89
Jam-1,8,138,13,13,88
Jam-1,8,151,13,13,94
Jam-1,8,148,13,13,94
Jam-1,8,126,11,11,86
Jam-1,8,123,10,10,86
Jam-1,8,148,13,13,93
Jam-1,8,141,12,12,94
Jam-1,8,120,10,10,85
Jam-1,8,126,11,11,86
Jam-1,8,139,12,12,92
Jam-1,8,147,13,13,92
Jam-1,8,115,10,10,81
Jam-1,8,126,11,11,86
Jam-1,8,115,10,10,81
Jam-1,8,142,12,12,95
Jam-1,8,132,11,11,91
Jam-1,8,104,9,9,76
Jam-1,8,112,10,10,80
Jam-1,8,119,10,10,84
Jam-1,8,112,9,9,81
Jam-1,8,121,10,10,86
Jam-1,8,152,13,13,98
Jam-1,8,108,9,9,78
Jam-1,8,135,12,12,89
Jam-1,8,152,13,13,98
Jam-1,8,94,8,8,70
Jam-1,8,143,12,12,94
Jam-1,8,108,9,9,77
Jam-1,8,115,10,10,82
Jam-1,8,141,12,12,92
Jam-1,8,114,10,10,81
Jam-1,8,149,13,13,93
Jam-1,8,148,13,13,93
Jam-1,8,131,11,11,89
Jam-1,8,95,8,8,69
Jam-1,8,97,8,8,72
Jam-1,8,133,11,11,92
Jam-1,8,130,11,11,90
Jam-1,8,132,11,11,91
Jam-1,8,116,10,10,81
Jam-1,8,105,9,9,76
Jam-1,8,105,9,9,75
Jam-1,8,137,12,12,89
Jam-1,8,104,9,9,75
Jam-1,8,102,8,8,75
Jam-1,8,94,8,8,70
Jam-1,8,153,13,13,97
Jam-1,8,119,10,10,82
Jam-1,8,106,9,9,77
Jam-1,8,102,8,8,75
Jam-1,8,138,12,12,92
Jam-1,8,145,13,13,92
Jam-1,8,122,10,10,87
Jam-1,8,95,8,8,68
Jam-1,8,124,11,11,83
Jam-1,8,146,13,13,93
Jam-1,8,102,8,8,75
Jam-1,8,127,11,11,86
Jam-1,8,114,10,10,80
Jam-1,8,112,9,9,82
Jam-1,8,102,8,8,75
Jam-1,8,121,10,10,86
Jam-1,8,132,12,12,86
Jam-1,8,137,12,12,91
Jam-1,8,144,12,12,96
Jam-1,8,146,13,13,90
Jam-1,8,116,10,10,81
Jam-1,8,101,9,9,70
Jam-1,8,99,8,8,73
Jam-1,8,113,10,10,79
Jam-1,8,115,10,10,81
Jam-1,8,135,11,11,94
Jam-1,8,113,10,10,79
Jam-1,8,127,11,11,88
Jam-1,8,114,10,10,79
Jam-1,8,93,8,8,69
Jam-1,8,117,10,10,80
Jam-1,8,120,10,10,85
Jam-1,8,135,11,11,93
Jam-1,8,153,13,13,97
Jam-1,8,128,11,11,88
Jam-1,8,117,10,10,80
Jam-1,8,142,13,13,86
Jam-1,8,154,13,13,99
Jam-11,29,4059,501,501,119
Jam-11,28,3988,490,490,106
Jam-11,28,4006,494,494,98
Jam-11,29,4014,494,494,115
Jam-11,27,4008,493,493,114
Jam-11,28,4031,496,496,114
Jam-11,29,4076,503,503,125
Jam-11,27,3955,485,485,104
Jam-11,28,4002,493,493,101
Jam-11,28,4011,493,493,121
Jam-11,28,4032,496,496,116
Jam-11,29,4024,496,496,111
Jam-11,29,4062,502,502,120
Jam-11,28,4005,493,493,113
Jam-11,28,3947,484,484,102
