instance,alg,h_weight,learning_iters,alg_path,optimal_path,step
Jam-1,lrta0,1,1,9,9,1
Jam-1,lrta0,1,1,9,8,2
Jam-1,lrta0,1,1,9,7,3
Jam-1,lrta0,1,1,9,6,4
Jam-1,lrta0,1,1,9,5,5
Jam-1,lrta0,1,1,9,4,6
Jam-1,lrta0,1,1,9,3,7
Jam-1,lrta0,1,1,9,2,8
Jam-1,lrta0,1,1,9,2,9
Jam-1,lrta1,1,5,15,9,1
Jam-1,lrta1,1,5,15,8,2
Jam-1,lrta1,1,5,15,7,3
Jam-1,lrta1,1,5,15,6,4
Jam-1,lrta1,1,5,15,6,5
Jam-1,lrta1,1,5,15,5,6
Jam-1,lrta1,1,5,15,5,7
Jam-1,lrta1,1,5,15,4,8
Jam-1,lrta1,1,5,15,3,9
Jam-1,lrta1,1,5,15,3,10
Jam-1,lrta1,1,5,15,3,11
Jam-1,lrta1,1,5,15,3,12
Jam-1,lrta1,1,5,15,3,13
Jam-1,lrta1,1,5,15,2,14
Jam-1,lrta1,1,5,15,2,15
Jam-2,lrta4,1,25,16,9,1
Jam-2,lrta4,1,25,16,8,2
Jam-2,lrta4,1,25,16,8,3
Jam-2,lrta4,1,25,16,8,4
Jam-2,lrta4,1,25,16,9,5
Jam-2,lrta4,1,25,16,8,6
Jam-2,lrta4,1,25,16,7,7
Jam-2,lrta4,1,25,16,6,8
Jam-2,lrta4,1,25,16,5,9
Jam-2,lrta4,1,25,16,4,10
Jam-2,lrta4,1,25,16,3,11
Jam-2,lrta4,1,25,16,3,12
Jam-2,lrta4,1,25,16,3,13
Jam-2,lrta4,1,25,16,3,14
Jam-2,lrta4,1,25,16,2,15
Jam-2,lrta4,1,25,16,2,16
Jam-17,lrta4,1,25,57,25,1
Jam-17,lrta4,1,25,57,24,2
Jam-17,lrta4,1,25,57,24,3
Jam-17,lrta4,1,25,57,24,4
Jam-17,lrta4,1,25,57,24,5
Jam-17,lrta4,1,25,57,24,6
Jam-17,lrta4,1,25,57,23,7
Jam-17,lrta4,1,25,57,23,8
Jam-17,lrta4,1,25,57,22,9
Jam-17,lrta4,1,25,57,22,10
Jam-17,lrta4,1,25,57,22,11
Jam-17,lrta4,1,25,57,22,12
Jam-17,lrta4,1,25,57,22,13
Jam-17,lrta4,1,25,57,22,14
Jam-17,lrta4,1,25,57,21,15
Jam-17,lrta4,1,25,57,21,16
Jam-17,lrta4,1,25,57,21,17
Jam-17,lrta4,1,25,57,20,18
Jam-17,lrta4,1,25,57,20,19
Jam-17,lrta4,1,25,57,19,20
Jam-17,lrta4,1,25,57,19,21
Jam-17,lrta4,1,25,57,19,22
Jam-17,lrta4,1,25,57,19,23
Jam-17,lrta4,1,25,57,19,24
Jam-17,lrta4,1,25,57,19,25
Jam-17,lrta4,1,25,57,18,26
Jam-17,lrta4,1,25,57,17,27
Jam-17,lrta4,1,25,57,17,28
Jam-17,lrta4,1,25,57,18,29
Jam-17,lrta4,1,25,57,17,30
Jam-17,lrta4,1,25,57,17,31
Jam-17,lrta4,1,25,57,16,32
Jam-17,lrta4,1,25,57,15,33
Jam-17,lrta4,1,25,57,14,34
Jam-17,lrta4,1,25,57,13,35
Jam-17,lrta4,1,25,57,13,36
Jam-17,lrta4,1,25,57,12,37
Jam-17,lrta4,1,25,57,12,38
Jam-17,lrta4,1,25,57,12,39
Jam-17,lrta4,1,25,57,11,40
Jam-17,lrta4,1,25,57,10,41
Jam-17,lrta4,1,25,57,11,42
Jam-17,lrta4,1,25,57,11,43
Jam-17,lrta4,1,25,57,11,44
Jam-17,lrta4,1,25,57,12,45
Jam-17,lrta4,1,25,57,11,46
Jam-17,lrta4,1,25,57,10,47
Jam-17,lrta4,1,25,57,9,48
Jam-17,lrta4,1,25,57,8,49
Jam-17,lrta4,1,25,57,8,50
Jam-17,lrta4,1,25,57,7,51
Jam-17,lrta4,1,25,57,6,52
Jam-17,lrta4,1,25,57,5,53
Jam-17,lrta4,1,25,57,4,54
Jam-17,lrta4,1,25,57,3,55
Jam-17,lrta4,1,25,57,2,56
Jam-17,lrta4,1,25,57,2,57
Jam-17,lrta5,1.5,25,39,25,1
Jam-17,lrta5,1.5,25,39,24,2
Jam-17,lrta5,1.5,25,39,23,3
Jam-17,lrta5,1.5,25,39,22,4
Jam-17,lrta5,1.5,25,39,21,5
Jam-17,lrta5,1.5,25,39,21,6
Jam-17,lrta5,1.5,25,39,21,7
Jam-17,lrta5,1.5,25,39,20,8
Jam-17,lrta5,1.5,25,39,19,9
Jam-17,lrta5,1.5,25,39,19,10
Jam-17,lrta5,1.5,25,39,20,11
Jam-17,lrta5,1.5,25,39,20,12
Jam-17,lrta5,1.5,25,39,19,13
Jam-17,lrta5,1.5,25,39,18,14
Jam-17,lrta5,1.5,25,39,17,15
Jam-17,lrta5,1.5,25,39,16,16
Jam-17,lrta5,1.5,25,39,16,17
Jam-17,lrta5,1.5,25,39,15,18
Jam-17,lrta5,1.5,25,39,15,19
Jam-17,lrta5,1.5,25,39,14,20
Jam-17,lrta5,1.5,25,39,13,21
Jam-17,lrta5,1.5,25,39,13,22
Jam-17,lrta5,1.5,25,39,12,23
Jam-17,lrta5,1.5,25,39,12,24
Jam-17,lrta5,1.5,25,39,12,25
Jam-17,lrta5,1.5,25,39,11,26
Jam-17,lrta5,1.5,25,39,10,27
Jam-17,lrta5,1.5,25,39,10,28
Jam-17,lrta5,1.5,25,39,10,29
Jam-17,lrta5,1.5,25,39,9,30
Jam-17,lrta5,1.5,25,39,9,31
Jam-17,lrta5,1.5,25,39,8,32
Jam-17,lrta5,1.5,25,39,7,33
Jam-17,lrta5,1.5,25,39,6,34
Jam-17,lrta5,1.5,25,39,5,35
Jam-17,lrta5,1.5,25,39,4,36
Jam-17,lrta5,1.5,25,39,3,37
Jam-17,lrta5,1.5,25,39,2,38
Jam-17,lrta5,1.5,25,39,2,39
Jam-18,lrta0,1,1,256,26,1
Jam-18,lrta0,1,1,256,25,2
Jam-18,lrta0,1,1,256,25,3
Jam-18,lrta0,1,1,256,24,4
Jam-18,lrta0,1,1,256,25,5
Jam-18,lrta0,1,1,256,26,6
Jam-18,lrta0,1,1,256,25,7
Jam-18,lrta0,1,1,256,25,8
Jam-18,lrta0,1,1,256,25,9
Jam-18,lrta0,1,1,256,24,10
Jam-18,lrta0,1,1,256,24,11
Jam-18,lrta0,1,1,256,23,12
Jam-18,lrta0,1,1,256,24,13
Jam-18,lrta0,1,1,256,25,14
Jam-18,lrta0,1,1,256,26,15
Jam-18,lrta0,1,1,256,25,16
Jam-18,lrta0,1,1,256,25,17
Jam-18,lrta0,1,1,256,25,18
Jam-18,lrta0,1,1,256,26,19
Jam-18,lrta0,1,1,256,26,20
Jam-18,lrta0,1,1,256,25,21
Jam-18,lrta0,1,1,256,24,22
Jam-18,lrta0,1,1,256,23,23
Jam-18,lrta0,1,1,256,24,24
Jam-18,lrta0,1,1,256,25,25
Jam-18,lrta0,1,1,256,24,26
Jam-18,lrta0,1,1,256,24,27
Jam-18,lrta0,1,1,256,23,28
Jam-18,lrta0,1,1,256,22,29
Jam-18,lrta0,1,1,256,23,30
Jam-18,lrta0,1,1,256,24,31
Jam-18,lrta0,1,1,256,25,32
Jam-18,lrta0,1,1,256,25,33
Jam-18,lrta0,1,1,256,25,34
Jam-18,lrta0,1,1,256,24,35
Jam-18,lrta0,1,1,256,24,36
Jam-18,lrta0,1,1,256,23,37
Jam-18,lrta0,1,1,256,23,38
Jam-18,lrta0,1,1,256,22,39
Jam-18,lrta0,1,1,256,23,40
Jam-18,lrta0,1,1,256,24,41
Jam-18,lrta0,1,1,256,24,42
Jam-18,lrta0,1,1,256,23,43
Jam-18,lrta0,1,1,256,23,44
Jam-18,lrta0,1,1,256,22,45
Jam-18,lrta0,1,1,256,21,46
Jam-18,lrta0,1,1,256,22,47
Jam-18,lrta0,1,1,256,22,48
Jam-18,lrta0,1,1,256,23,49
Jam-18,lrta0,1,1,256,24,50
Jam-18,lrta0,1,1,256,23,51
Jam-18,lrta0,1,1,256,22,52
Jam-18,lrta0,1,1,256,23,53
Jam-18,lrta0,1,1,256,24,54
Jam-18,lrta0,1,1,256,24,55
Jam-18,lrta0,1,1,256,24,56
Jam-18,lrta0,1,1,256,24,57
Jam-18,lrta0,1,1,256,23,58
Jam-18,lrta0,1,1,256,23,59
Jam-18,lrta0,1,1,256,24,60
Jam-18,lrta0,1,1,256,23,61
Jam-18,lrta0,1,1,256,23,62
Jam-18,lrta0,1,1,256,23,63
Jam-18,lrta0,1,1,256,22,64
Jam-18,lrta0,1,1,256,22,65
Jam-18,lrta0,1,1,256,23,66
Jam-18,lrta0,1,1,256,22,67
Jam-18,lrta0,1,1,256,21,68
Jam-18,lrta0,1,1,256,22,69
Jam-18,lrta0,1,1,256,22,70
Jam-18,lrta0,1,1,256,23,71
Jam-18,lrta0,1,1,256,23,72
Jam-18,lrta0,1,1,256,23,73
Jam-18,lrta0,1,1,256,22,74
Jam-18,lrta0,1,1,256,21,75
Jam-18,lrta0,1,1,256,22,76
Jam-18,lrta0,1,1,256,21,77
Jam-18,lrta0,1,1,256,21,78
Jam-18,lrta0,1,1,256,20,79
Jam-18,lrta0,1,1,256,21,80
Jam-18,lrta0,1,1,256,21,81
Jam-18,lrta0,1,1,256,22,82
Jam-18,lrta0,1,1,256,22,83
Jam-18,lrta0,1,1,256,21,84
Jam-18,lrta0,1,1,256,22,85
Jam-18,lrta0,1,1,256,23,86
Jam-18,lrta0,1,1,256,23,87
Jam-18,lrta0,1,1,256,23,88
Jam-18,lrta0,1,1,256,22,89
Jam-18,lrta0,1,1,256,22,90
Jam-18,lrta0,1,1,256,23,91
Jam-18,lrta0,1,1,256,23,92
