Rec(t='1489779815.73', event='start', piece='None', move_nu='0', move='None', instance='Jam-21')|22|4950|31959|1830|218
Rec(t='1489779817.95', event='commit_move', piece='l', move_nu='0', move='(0, 5, 3)', instance='Jam-21')|23|4851|31190|2329|217
Rec(t='1489779819.98', event='commit_move', piece='w', move_nu='1', move='(3, 3, 3)', instance='Jam-21')|22|1687|10815|1031|215
Rec(t='1489779822.7', event='commit_move', piece='l', move_nu='2', move='(1, 5, 3)', instance='Jam-21')|22|3824|24672|2839|216
Rec(t='1489779824.53', event='commit_move', piece='c', move_nu='3', move='(0, 3, 3)', instance='Jam-21')|21|2797|18002|1958|217
Rec(t='1489779825.85', event='commit_move', piece='r', move_nu='4', move='(0, 2, 2)', instance='Jam-21')|20|1866|12124|1015|217
Rec(t='1489779827.27', event='commit_move', piece='y', move_nu='5', move='(2, 3, 2)', instance='Jam-21')|20|9189|59446|9446|217
Rec(t='1489779829.17', event='commit_move', piece='l', move_nu='6', move='(3, 5, 3)', instance='Jam-21')|19|4272|27645|3772|217
Rec(t='1489779830.19', event='commit_move', piece='y', move_nu='7', move='(2, 4, 2)', instance='Jam-21')|18|2062|13357|971|217
Rec(t='1489779831.64', event='commit_move', piece='r', move_nu='8', move='(1, 2, 2)', instance='Jam-21')|17|1333|8553|522|217
Rec(t='1489779832.74', event='commit_move', piece='b', move_nu='9', move='(1, 0, 2)', instance='Jam-21')|16|1606|10373|530|216
Rec(t='1489779834.29', event='commit_move', piece='c', move_nu='10', move='(0, 0, 3)', instance='Jam-21')|15|1712|11034|508|215
Rec(t='1489779835.94', event='commit_move', piece='w', move_nu='11', move='(0, 3, 3)', instance='Jam-21')|14|1447|9222|873|207
Rec(t='1489779842.29', event='commit_move', piece='B', move_nu='12', move='(3, 2, 3)', instance='Jam-21')|13|751|4695|599|174
Rec(t='1489779843.81', event='commit_move', piece='b', move_nu='13', move='(4, 0, 2)', instance='Jam-21')|12|451|2847|509|139
Rec(t='1489779845.25', event='commit_move', piece='B', move_nu='14', move='(3, 0, 3)', instance='Jam-21')|11|318|1987|389|107
Rec(t='1489779847.26', event='commit_move', piece='w', move_nu='15', move='(3, 3, 3)', instance='Jam-21')|10|299|1841|333|96
Rec(t='1489779848.65', event='commit_move', piece='y', move_nu='16', move='(2, 3, 2)', instance='Jam-21')|10|337|2096|390|91
Rec(t='1489779850.56', event='commit_move', piece='l', move_nu='17', move='(0, 5, 3)', instance='Jam-21')|11|403|2556|215|108
Rec(t='1489779852.48', event='commit_move', piece='l', move_nu='18', move='(1, 5, 3)', instance='Jam-21')|10|324|2112|437|91
