subject,instance,optimal_length,move_number,move,pre_actions,meta_move,rt,trial_number,progress,distance_to_goal
andra.log,Jam-1,9,0,l@(3.2.3),2,commit_move,14.9500000477,1,-1,10
andra.log,Jam-1,9,1,M@(5.1.3),2,commit_move,3.15000009537,1,0,10
andra.log,Jam-1,9,2,B@(1.5.3),2,commit_move,28.2799999714,1,0,10
andra.log,Jam-1,9,3,w@(1.0.2),2,commit_move,3.24000000954,1,1,9
andra.log,Jam-1,9,4,b@(0.0.3),2,commit_move,2.5,1,1,8
andra.log,Jam-1,9,5,y@(0.3.2),2,commit_move,2.6099998951,1,1,7
andra.log,Jam-1,9,6,B@(0.5.3),2,commit_move,2.67000007629,1,1,6
andra.log,Jam-1,9,7,l@(3.1.3),4,commit_move,8.66000008583,1,1,5
andra.log,Jam-1,9,8,c@(1.4.2),4,commit_move,5.01999998093,1,1,4
andra.log,Jam-1,9,9,l@(3.3.3),3,commit_move,2.75,1,1,3
andra.log,Jam-1,9,10,M@(5.3.3),3,commit_move,2.37999987602,1,1,2
andra.log,Jam-1,9,11,r@(4.2.2),4,win,2.35000014305,1,1,1
andra.log,Jam-2,9,0,g@(3.4.2),2,commit_move,24.3999998569,1,1,8
andra.log,Jam-2,9,1,o@(5.3.3),3,commit_move,3.06999993324,1,1,7
andra.log,Jam-2,9,2,y@(1.0.3),4,commit_move,12.1600000858,1,0,7
andra.log,Jam-2,9,3,M@(4.0.2),3,commit_move,2.75999999046,1,1,6
andra.log,Jam-2,9,4,w@(2.3.3),6,commit_move,28.9200000763,1,0,6
andra.log,Jam-2,9,5,r@(1.2.2),2,commit_move,2.47000002861,1,1,5
andra.log,Jam-2,9,6,b@(0.3.2),4,commit_move,3.55999994278,1,1,4
andra.log,Jam-2,9,7,y@(0.0.3),3,commit_move,3.71000003815,1,1,3
andra.log,Jam-2,9,8,c@(3.0.2),2,commit_move,2.96000003815,1,1,2
andra.log,Jam-2,9,9,r@(4.2.2),4,win,2.1099998951,1,1,1
andra.log,Jam-3,15,0,w@(3.0.3),8,commit_move,37.2400000095,1,1,14
andra.log,Jam-3,15,1,b@(3.3.2),3,commit_move,10.7699999809,1,0,14
andra.log,Jam-3,15,2,l@(1.3.2),2,commit_move,7.6400001049,1,1,13
andra.log,Jam-3,15,3,B@(0.5.2),3,commit_move,3.74000000954,1,1,12
andra.log,Jam-3,15,4,y@(5.0.3),5,commit_move,25.7100000381,1,1,11
andra.log,Jam-3,15,5,b@(4.3.2),2,commit_move,3.17999982834,1,1,10
andra.log,Jam-3,15,6,w@(3.3.3),4,commit_move,8.21000003815,1,1,9
andra.log,Jam-3,15,7,r@(0.2.2),4,commit_move,27.4900000095,1,0,9
andra.log,Jam-3,15,8,w@(3.0.3),4,commit_move,43.6100001335,1,-1,10
andra.log,Jam-3,15,9,b@(2.3.2),3,commit_move,2.34999990463,1,-1,11
andra.log,Jam-3,15,10,y@(5.3.3),4,commit_move,3.47000002861,1,-1,12
andra.log,Jam-3,15,11,B@(3.5.2),4,commit_move,37.3499999046,1,-1,13
andra.log,Jam-3,15,12,l@(1.4.2),2,commit_move,2.94000005722,1,-1,14
andra.log,Jam-3,15,13,b@(0.3.2),3,commit_move,9.76999998093,1,0,14
andra.log,Jam-3,15,14,B@(2.5.2),5,commit_move,114.24000001,1,0,14
andra.log,Jam-3,15,15,y@(5.0.3),4,commit_move,9.51999998093,1,1,13
andra.log,Jam-3,15,16,b@(4.3.2),5,commit_move,8.99000000954,1,1,12
andra.log,Jam-3,15,17,B@(4.5.2),4,commit_move,12.3400001526,1,1,11
andra.log,Jam-3,15,18,w@(3.3.3),5,commit_move,26.7799999714,1,1,10
andra.log,Jam-3,15,19,r@(1.2.2),4,commit_move,12.4399998188,1,0,10
andra.log,Jam-3,15,20,w@(3.0.3),4,commit_move,4.23000001907,1,-1,11
andra.log,Jam-3,15,21,b@(0.3.2),5,commit_move,4.85000014305,1,-1,12
andra.log,Jam-3,15,22,w@(3.3.3),5,commit_move,5.01999998093,1,-1,13
andra.log,Jam-3,15,23,y@(5.2.3),4,commit_move,5.66000008583,1,-1,14
andra.log,Jam-3,15,24,r@(3.2.2),3,commit_move,3.44999980927,1,-1,15
andra.log,Jam-3,15,25,r@(1.2.2),4,commit_move,15.0399999619,1,1,14
andra.log,Jam-3,15,26,w@(3.0.3),4,commit_move,3.07000017166,1,1,13
andra.log,Jam-3,15,27,B@(2.5.2),3,commit_move,3.67999982834,1,-1,14
andra.log,Jam-3,15,28,y@(5.3.3),2,commit_move,3.44000005722,1,0,14
andra.log,Jam-3,15,29,y@(5.1.3),9,commit_move,75.3300001621,1,0,14
andra.log,Jam-3,15,30,B@(4.5.2),3,commit_move,12.5599999428,1,1,13
andra.log,Jam-3,15,31,w@(3.3.3),4,commit_move,3.26999998093,1,-1,14
andra.log,Jam-3,15,32,r@(3.2.2),3,commit_move,6.84999990463,1,-1,15
andra.log,Jam-3,15,33,r@(1.2.2),7,commit_move,39.9200000763,1,1,14
andra.log,Jam-3,15,34,w@(3.0.3),4,commit_move,3.84999990463,1,1,13
andra.log,Jam-3,15,35,b@(3.3.2),4,commit_move,9.22000002861,1,0,13
andra.log,Jam-3,15,36,b@(2.3.2),5,commit_move,30.0,1,0,13
andra.log,Jam-3,15,37,l@(1.3.2),2,commit_move,2.09000015259,1,0,13
andra.log,Jam-3,15,38,B@(0.5.2),5,commit_move,11.9699997902,1,1,12
andra.log,Jam-3,15,39,y@(5.0.3),3,commit_move,16.620000124,1,1,11
andra.log,Jam-3,15,40,b@(4.3.2),3,commit_move,5.86999988556,1,1,10
andra.log,Jam-3,15,41,w@(3.3.3),4,commit_move,26.8000001907,1,1,9
andra.log,Jam-3,15,42,r@(3.2.2),3,commit_move,14.4099998474,1,1,8
andra.log,Jam-3,15,43,l@(1.0.2),4,commit_move,4.01999998093,1,1,7
andra.log,Jam-3,15,44,r@(1.2.2),3,commit_move,14.3900001049,1,1,6
andra.log,Jam-3,15,45,w@(3.0.3),4,commit_move,2.93000006676,1,1,5
andra.log,Jam-3,15,46,b@(0.3.2),5,commit_move,4.36999988556,1,1,4
andra.log,Jam-3,15,47,y@(5.3.3),5,commit_move,5.25,1,1,3
andra.log,Jam-3,15,48,w@(3.3.3),5,commit_move,2.20000004768,1,1,2
andra.log,Jam-3,15,49,r@(4.2.2),4,win,1.80999994278,1,1,1
andra.log,Jam-4,10,0,l@(0.3.3),9,commit_move,38.9900000095,1,1,9
andra.log,Jam-4,10,1,r@(0.2.2),2,commit_move,3.32999992371,1,1,8
andra.log,Jam-4,10,2,b@(2.0.2),4,commit_move,3.02000021935,1,1,7
andra.log,Jam-4,10,3,w@(1.3.3),3,commit_move,10.5999999046,1,0,7
andra.log,Jam-4,10,4,B@(5.0.2),5,commit_move,18.0,1,0,7
andra.log,Jam-4,10,5,r@(1.2.2),2,commit_move,10.1700000763,1,1,6
andra.log,Jam-4,10,6,l@(0.0.3),5,commit_move,3.06999993324,1,1,5
andra.log,Jam-4,10,7,w@(0.3.3),2,commit_move,2.98000001907,1,1,4
andra.log,Jam-4,10,8,c@(0.5.3),4,commit_move,5.45000004768,1,1,3
andra.log,Jam-4,10,9,y@(3.3.3),4,commit_move,2.28999996185,1,1,2
andra.log,Jam-4,10,10,r@(4.2.2),4,win,2.25,1,1,1
andra.log,Jam-5,10,0,g@(1.4.2),4,commit_move,15.5399999619,1,1,9
andra.log,Jam-5,10,1,l@(1.5.2),4,commit_move,2.12000012398,1,1,8
andra.log,Jam-5,10,2,m@(5.4.2),3,commit_move,8.00999999046,1,1,7
andra.log,Jam-5,10,3,w@(4.0.3),2,commit_move,9.0,1,0,7
andra.log,Jam-5,10,4,b@(1.0.2),2,commit_move,1.66999983788,1,1,6
andra.log,Jam-5,10,5,o@(0.0.3),2,commit_move,1.43000006676,1,1,5
andra.log,Jam-5,10,6,B@(0.3.2),2,commit_move,2.09000015259,1,-1,6
andra.log,Jam-5,10,7,l@(0.5.2),2,commit_move,2.02999997139,1,-1,7
andra.log,Jam-5,10,8,l@(1.5.2),2,commit_move,74.0699999332,1,1,6
andra.log,Jam-5,10,9,B@(0.4.2),3,commit_move,4.08999991417,1,1,5
andra.log,Jam-5,10,10,M@(0.3.3),2,commit_move,2.8100001812,1,1,4
andra.log,Jam-5,10,11,y@(3.3.3),4,commit_move,3.06999993324,1,1,3
andra.log,Jam-5,10,12,w@(4.3.3),4,commit_move,2.41999983788,1,1,2
andra.log,Jam-5,10,13,r@(4.2.2),4,win,1.72000002861,1,1,1
andra.log,Jam-6,10,0,g@(2.4.2),2,commit_move,7.38999986649,1,0,10
andra.log,Jam-6,10,1,B@(1.3.2),2,commit_move,1.92000007629,1,0,10
andra.log,Jam-6,10,2,b@(1.0.2),2,commit_move,5.41000008583,1,0,10
andra.log,Jam-6,10,3,B@(0.3.2),3,commit_move,19.2799999714,1,-1,11
andra.log,Jam-6,10,4,g@(2.3.2),2,commit_move,1.41999983788,1,0,11
andra.log,Jam-6,10,5,m@(1.5.3),3,commit_move,2.32000017166,1,0,11
andra.log,Jam-6,10,6,M@(1.1.2),3,commit_move,17.3399999142,1,-1,12
andra.log,Jam-6,10,7,m@(2.5.3),2,commit_move,2.5,1,0,12
andra.log,Jam-6,10,8,m@(3.5.3),2,commit_move,3.17000007629,1,1,11
andra.log,Jam-6,10,9,g@(2.4.2),2,commit_move,1.5,1,1,10
andra.log,Jam-6,10,10,B@(1.3.2),2,commit_move,1.32999992371,1,1,9
andra.log,Jam-6,10,11,l@(0.1.2),4,commit_move,5.62000012398,1,1,8
andra.log,Jam-6,10,12,B@(0.3.2),2,commit_move,2.25,1,1,7
andra.log,Jam-6,10,13,g@(2.3.2),2,commit_move,2.34999990463,1,1,6
andra.log,Jam-6,10,14,m@(0.5.3),4,commit_move,2.19000005722,1,1,5
andra.log,Jam-6,10,15,w@(3.3.3),2,commit_move,3.34999990463,1,1,4
andra.log,Jam-6,10,16,y@(4.3.3),3,commit_move,2.6400001049,1,1,3
andra.log,Jam-6,10,17,o@(5.3.3),3,commit_move,2.15999984741,1,1,2
