puzzle,path,generated,expanded,close,open,alg
Jam-1,8,123,10,10,88,0
Jam-1,8,150,13,13,96,0
Jam-1,8,110,9,9,81,0
Jam-1,8,112,9,9,80,0
Jam-1,8,143,12,12,96,0
Jam-1,8,92,8,8,68,0
Jam-1,8,140,12,12,93,0
Jam-1,8,138,12,12,90,0
Jam-1,8,129,11,11,88,0
Jam-1,8,111,9,9,81,0
Jam-1,8,139,12,12,92,0
Jam-1,8,100,8,8,75,0
Jam-1,8,135,12,12,89,0
Jam-1,8,136,12,12,88,0
Jam-1,8,103,9,9,75,0
Jam-1,8,137,12,12,89,0
Jam-1,8,138,13,13,88,0
Jam-1,8,151,13,13,94,0
Jam-1,8,148,13,13,94,0
Jam-1,8,126,11,11,86,0
Jam-1,8,123,10,10,86,0
Jam-1,8,148,13,13,93,0
Jam-1,8,141,12,12,94,0
Jam-1,8,120,10,10,85,0
Jam-1,8,126,11,11,86,0
Jam-1,8,139,12,12,92,0
Jam-1,8,147,13,13,92,0
Jam-1,8,115,10,10,81,0
Jam-1,8,126,11,11,86,0
Jam-1,8,115,10,10,81,0
Jam-1,8,142,12,12,95,0
Jam-1,8,132,11,11,91,0
Jam-1,8,104,9,9,76,0
Jam-1,8,112,10,10,80,0
Jam-1,8,119,10,10,84,0
Jam-1,8,112,9,9,81,0
Jam-1,8,121,10,10,86,0
Jam-1,8,152,13,13,98,0
Jam-1,8,108,9,9,78,0
Jam-1,8,135,12,12,89,0
Jam-1,8,152,13,13,98,0
Jam-1,8,94,8,8,70,0
Jam-1,8,143,12,12,94,0
Jam-1,8,108,9,9,77,0
Jam-1,8,115,10,10,82,0
Jam-1,8,141,12,12,92,0
Jam-1,8,114,10,10,81,0
Jam-1,8,149,13,13,93,0
Jam-1,8,148,13,13,93,0
Jam-1,8,131,11,11,89,0
Jam-1,8,95,8,8,69,0
Jam-1,8,97,8,8,72,0
Jam-1,8,133,11,11,92,0
Jam-1,8,130,11,11,90,0
Jam-1,8,132,11,11,91,0
Jam-1,8,116,10,10,81,0
Jam-1,8,105,9,9,76,0
Jam-1,8,105,9,9,75,0
Jam-1,8,137,12,12,89,0
Jam-1,8,104,9,9,75,0
Jam-1,8,102,8,8,75,0
Jam-1,8,94,8,8,70,0
Jam-1,8,153,13,13,97,0
Jam-1,8,119,10,10,82,0
Jam-1,8,106,9,9,77,0
Jam-1,8,102,8,8,75,0
Jam-1,8,138,12,12,92,0
Jam-1,8,145,13,13,92,0
Jam-1,8,122,10,10,87,0
Jam-1,8,95,8,8,68,0
Jam-1,8,124,11,11,83,0
Jam-1,8,146,13,13,93,0
Jam-1,8,102,8,8,75,0
Jam-1,8,127,11,11,86,0
Jam-1,8,114,10,10,80,0
Jam-1,8,112,9,9,82,0
Jam-1,8,102,8,8,75,0
Jam-1,8,121,10,10,86,0
Jam-1,8,132,12,12,86,0
Jam-1,8,137,12,12,91,0
Jam-1,8,144,12,12,96,0
Jam-1,8,146,13,13,90,0
Jam-1,8,116,10,10,81,0
Jam-1,8,101,9,9,70,0
Jam-1,8,99,8,8,73,0
Jam-1,8,113,10,10,79,0
Jam-1,8,115,10,10,81,0
Jam-1,8,135,11,11,94,0
Jam-1,8,113,10,10,79,0
Jam-1,8,127,11,11,88,0
Jam-1,8,114,10,10,79,0
Jam-1,8,93,8,8,69,0
Jam-1,8,117,10,10,80,0
Jam-1,8,120,10,10,85,0
Jam-1,8,135,11,11,93,0
Jam-1,8,153,13,13,97,0
Jam-1,8,128,11,11,88,0
Jam-1,8,117,10,10,80,0
Jam-1,8,142,13,13,86,0
Jam-1,8,154,13,13,99,0
Jam-11,29,4059,501,501,119,0
Jam-11,28,3988,490,490,106,0
Jam-11,28,4006,494,494,98,0
Jam-11,29,4014,494,494,115,0
Jam-11,27,4008,493,493,114,0
Jam-11,28,4031,496,496,114,0
Jam-11,29,4076,503,503,125,0
Jam-11,27,3955,485,485,104,0
Jam-11,28,4002,493,493,101,0
Jam-11,28,4011,493,493,121,0
Jam-11,28,4032,496,496,116,0
Jam-11,29,4024,496,496,111,0
Jam-11,29,4062,502,502,120,0
Jam-11,28,4005,493,493,113,0
Jam-11,28,3947,484,484,102,0
Jam-11,28,3963,487,487,106,0
Jam-11,28,4003,493,493,103,0
Jam-11,27,3976,489,489,92,0
Jam-11,28,4000,493,493,108,0
Jam-11,27,3977,489,489,109,0
Jam-11,29,3997,493,493,99,0
Jam-11,29,4043,499,499,122,0
Jam-11,27,3969,488,488,104,0
Jam-11,28,3973,487,487,113,0
Jam-11,27,3974,489,489,90,0
Jam-11,28,3995,491,491,106,0
Jam-11,27,3999,492,492,103,0
Jam-11,28,3993,490,490,110,0
Jam-11,27,3975,489,489,93,0
Jam-11,29,4005,493,493,118,0
Jam-11,27,3982,490,490,96,0
Jam-11,29,4026,496,496,110,0
Jam-11,27,4015,494,494,109,0
Jam-11,28,3999,492,492,106,0
Jam-11,28,3988,490,490,103,0
Jam-11,27,3970,487,487,101,0
Jam-11,27,3968,487,487,109,0
Jam-11,27,3977,489,489,104,0
Jam-11,27,4017,495,495,101,0
Jam-11,28,3996,492,492,112,0
Jam-11,28,3980,490,490,107,0
Jam-11,28,4002,492,492,114,0
Jam-11,28,4037,497,497,114,0
Jam-11,27,3984,491,491,94,0
Jam-11,29,4053,500,500,120,0
Jam-11,29,4031,498,498,116,0
Jam-11,27,3971,488,488,102,0
Jam-11,29,4012,493,493,124,0
Jam-11,28,3990,490,490,115,0
Jam-11,29,4067,502,502,128,0
Jam-11,28,3984,489,489,115,0
Jam-11,28,3987,491,491,105,0
Jam-11,27,3983,490,490,105,0
Jam-11,27,3952,486,486,93,0
Jam-11,29,4067,501,501,125,0
Jam-11,29,4087,504,504,126,0
Jam-11,27,3963,486,486,105,0
Jam-11,28,4000,491,491,116,0
Jam-11,28,3981,489,489,111,0
Jam-11,28,3992,490,490,118,0
Jam-11,27,3954,485,485,105,0
Jam-11,28,4023,495,495,112,0
Jam-11,29,4079,503,503,124,0
Jam-11,28,4003,492,492,109,0
Jam-11,29,4028,496,496,120,0
Jam-11,29,4010,493,493,119,0
Jam-11,29,4066,501,501,122,0
Jam-11,27,3965,486,486,107,0
Jam-11,28,3994,491,491,112,0
Jam-11,29,4053,499,499,123,0
Jam-11,27,3960,486,486,100,0
Jam-11,28,3994,491,491,113,0
Jam-11,29,4065,501,501,124,0
Jam-11,29,4046,499,499,117,0
Jam-11,29,4040,497,497,122,0
Jam-11,28,4019,495,495,119,0
Jam-11,28,4009,493,493,116,0
Jam-11,28,3996,492,492,104,0
Jam-11,28,3991,491,491,106,0
Jam-11,28,3987,491,491,97,0
Jam-11,28,4008,493,493,109,0
Jam-11,28,3990,491,491,108,0
Jam-11,29,4047,499,499,122,0
Jam-11,29,4024,496,496,119,0
Jam-11,29,4002,493,493,105,0
Jam-11,29,4038,498,498,115,0
Jam-11,28,4019,495,495,109,0
Jam-11,28,3986,490,490,102,0
Jam-11,29,4038,497,497,127,0
Jam-11,27,3951,486,486,89,0
Jam-11,28,4020,496,496,104,0
Jam-11,28,3976,489,489,95,0
Jam-11,28,4012,494,494,107,0
Jam-11,29,4033,497,497,124,0
Jam-11,28,4016,493,493,118,0
Jam-11,29,4053,499,499,129,0
Jam-11,28,3962,486,486,109,0
Jam-11,27,3970,488,488,97,0
Jam-11,28,3981,489,489,106,0
Jam-11,28,4033,497,497,112,0
Jam-12,17,2595,293,293,79,0
Jam-12,17,2607,294,294,85,0
Jam-12,17,7703,855,855,143,0
Jam-12,17,2602,294,294,81,0
Jam-12,17,2649,299,299,99,0
Jam-12,32,8084,904,904,123,0
Jam-12,17,2627,297,297,86,0
Jam-12,29,8100,905,905,136,0
Jam-12,17,7727,857,857,160,0
Jam-12,17,2595,293,293,79,0
Jam-12,32,8041,897,897,149,0
Jam-12,32,8167,913,913,143,0
Jam-12,17,2590,292,292,79,0
Jam-12,17,7700,854,854,152,0
Jam-12,17,2597,293,293,82,0
Jam-12,17,2624,296,296,95,0
Jam-12,17,2641,298,298,96,0
Jam-12,17,2627,296,296,97,0
Jam-12,32,8091,904,904,126,0
Jam-12,17,7711,856,856,144,0
Jam-12,17,2628,297,297,87,0
Jam-12,17,7724,857,857,153,0
Jam-12,17,2671,300,300,113,0
Jam-12,17,2615,295,295,84,0
Jam-12,17,2659,299,299,107,0
Jam-12,17,2624,296,296,88,0
Jam-12,17,2613,294,294,93,0
Jam-12,17,2601,293,293,83,0
Jam-12,32,8052,899,899,134,0
Jam-12,17,2665,300,300,109,0
Jam-12,17,2618,295,295,88,0
Jam-12,17,7746,859,859,164,0
Jam-12,17,2602,293,293,86,0
Jam-12,31,8066,901,901,132,0
Jam-12,17,2613,294,294,91,0
Jam-12,17,2672,301,301,109,0
Jam-12,17,2674,301,301,110,0
Jam-12,29,8111,905,905,157,0
Jam-12,17,2619,296,296,85,0
Jam-12,31,8099,906,906,126,0
Jam-12,17,7746,859,859,166,0
Jam-12,17,2626,296,296,93,0
Jam-12,17,2602,293,293,84,0
Jam-12,31,8119,908,908,138,0
Jam-12,32,8038,897,897,140,0
Jam-12,17,2650,298,298,103,0
Jam-12,17,2598,293,293,83,0
Jam-12,17,7705,855,855,146,0
Jam-12,17,2600,293,293,84,0
Jam-12,17,2620,296,296,90,0
Jam-12,17,2600,293,293,84,0
Jam-12,17,2606,294,294,84,0
Jam-12,17,2607,294,294,85,0
Jam-12,17,2608,294,294,87,0
Jam-12,17,2608,294,294,85,0
Jam-12,17,2621,296,296,83,0
Jam-12,17,2622,296,296,88,0
Jam-12,17,2604,294,294,84,0
Jam-12,17,2644,298,298,103,0
Jam-12,17,7718,856,856,156,0
Jam-12,17,7689,853,853,143,0
