Rec(t='1489782576.65', event='start', piece='None', move_nu='0', move='None', instance='Jam-2')|9|6344|64214|16003|419
Rec(t='1489782595.84', event='commit_move', piece='r', move_nu='0', move='(1, 2, 2)', instance='Jam-2')|8|2749|29022|14074|293
Rec(t='1489782597.32', event='commit_move', piece='b', move_nu='1', move='(0, 1, 2)', instance='Jam-2')|7|773|8427|4782|136
Rec(t='1489782599.54', event='commit_move', piece='y', move_nu='2', move='(0, 0, 3)', instance='Jam-2')|6|407|4627|2687|79
Rec(t='1489782625.07', event='commit_move', piece='c', move_nu='3', move='(3, 0, 2)', instance='Jam-2')|5|78|884|589|34
Rec(t='1489782627.05', event='commit_move', piece='M', move_nu='4', move='(4, 0, 2)', instance='Jam-2')|4|30|338|239|19
Rec(t='1489782628.82', event='commit_move', piece='g', move_nu='5', move='(3, 4, 2)', instance='Jam-2')|3|14|159|119|12
Rec(t='1489782630.84', event='commit_move', piece='o', move_nu='6', move='(5, 3, 3)', instance='Jam-2')|2|3|33|29|3
Rec(t='1489782632.94', event='win', piece='r', move_nu='7', move='(4, 2, 2)', instance='Jam-2')|2|0|0|0|0
Rec(t='1489782635.59', event='start', piece='None', move_nu='0', move='None', instance='Jam-3')|15|19610|197049|14677|578
Rec(t='1489782666.75', event='commit_move', piece='w', move_nu='0', move='(3, 0, 3)', instance='Jam-3')|14|10522|102703|10974|572
Rec(t='1489782691.83', event='commit_move', piece='y', move_nu='1', move='(5, 0, 3)', instance='Jam-3')|13|11812|113436|10925|574
Rec(t='1489782712.38', event='commit_move', piece='b', move_nu='2', move='(4, 3, 2)', instance='Jam-3')|12|9924|94508|6503|571
Rec(t='1489782715.43', event='commit_move', piece='l', move_nu='3', move='(1, 3, 2)', instance='Jam-3')|11|7098|65983|4193|511
Rec(t='1489782718.33', event='commit_move', piece='B', move_nu='4', move='(0, 5, 2)', instance='Jam-3')|10|2950|27909|6069|420
Rec(t='1489782723.45', event='commit_move', piece='w', move_nu='5', move='(3, 3, 3)', instance='Jam-3')|9|924|9054|3917|207
