subject,assignment, instance, optimal_length, human_length, complete, start_time, end_time, rt,nodes_expanded, skipped, trial_number
A1NT8BT94ME6F5,31LM9EDVOM0C0BWUVMJXJINN3QPJNI,prb32795,7,23,True,1.51752220695e+12,1.51752225244e+12,45490.0,999,False,0
A1NT8BT94ME6F5,31LM9EDVOM0C0BWUVMJXJINN3QPJNI,prb22436,11,14,True,1.51752225507e+12,1.517522276e+12,20927.0,999,False,0
A1NT8BT94ME6F5,31LM9EDVOM0C0BWUVMJXJINN3QPJNI,prb24406,16,41,True,1.51752227693e+12,1.51752235211e+12,75173.0,999,False,0
A1NT8BT94ME6F5,31LM9EDVOM0C0BWUVMJXJINN3QPJNI,prb42959,11,44,True,1.5175223529e+12,1.51752242975e+12,76850.0,999,False,0
A1NT8BT94ME6F5,31LM9EDVOM0C0BWUVMJXJINN3QPJNI,prb25861,16,30,False,1.51752243056e+12,1.5175224923e+12,61739.0,999,True,0
A1NT8BT94ME6F5,31LM9EDVOM0C0BWUVMJXJINN3QPJNI,prb29585,14,46,False,1.51752249546e+12,1.51752257016e+12,74703.0,999,True,0
A1NT8BT94ME6F5,31LM9EDVOM0C0BWUVMJXJINN3QPJNI,prb46639,16,20,False,1.51752257411e+12,1.51752261086e+12,36750.0,999,True,0
A1NT8BT94ME6F5,31LM9EDVOM0C0BWUVMJXJINN3QPJNI,prb3217,11,28,False,1.51752261383e+12,1.5175226505e+12,36677.0,999,True,0
A1NT8BT94ME6F5,31LM9EDVOM0C0BWUVMJXJINN3QPJNI,prb1267,16,13,False,1.51752265423e+12,1.51752268295e+12,28724.0,999,True,0
A1NT8BT94ME6F5,31LM9EDVOM0C0BWUVMJXJINN3QPJNI,prb21272,7,15,True,1.51752268373e+12,1.51752270631e+12,22574.0,999,False,0
A1NT8BT94ME6F5,31LM9EDVOM0C0BWUVMJXJINN3QPJNI,prb48146,16,29,False,1.51752270724e+12,1.51752275228e+12,45034.0,999,False,0
A1NT8BT94ME6F5,31LM9EDVOM0C0BWUVMJXJINN3QPJNI,prb48146,16,17,False,1.5175227535e+12,1.51752279892e+12,45428.0,999,True,1
A1NT8BT94ME6F5,31LM9EDVOM0C0BWUVMJXJINN3QPJNI,prb33509,11,14,True,1.51752279994e+12,1.51752282762e+12,27679.0,999,False,0
A1NT8BT94ME6F5,31LM9EDVOM0C0BWUVMJXJINN3QPJNI,prb62222,11,20,True,1.51752282844e+12,1.51752285836e+12,29917.0,999,False,0
A1NT8BT94ME6F5,31LM9EDVOM0C0BWUVMJXJINN3QPJNI,prb19279,14,10,False,1.51752285932e+12,1.5175228814e+12,22078.0,999,False,0
A1NT8BT94ME6F5,31LM9EDVOM0C0BWUVMJXJINN3QPJNI,prb19279,14,18,False,1.51752288393e+12,1.51752291717e+12,33237.0,999,False,1
