jsonfile,car_2,car_3,v_size,h_size,mag_nodes,mag_edges,path_length,num_sccs,max_scc_size
../psiturk-rushhour/static/json/1509487955_41_prb20800_10_.json,6,3,4,5,8,10,10,1,5
../psiturk-rushhour/static/json/1509554552_96_prb33098_10_.json,6,3,4,5,7,9,10,0,1
../psiturk-rushhour/static/json/1509557545_35_prb34920_11_.json,6,3,4,5,6,12,11,1,5
../psiturk-rushhour/static/json/1509609106_11_prb54506_16_.json,6,3,6,3,8,9,16,1,4
../psiturk-rushhour/static/json/1509411019_67_prb288_13_.json,6,3,4,5,4,4,13,0,1
../psiturk-rushhour/static/json/1509503890_21_prb26009_9_.json,6,3,6,3,6,6,9,0,1
../psiturk-rushhour/static/json/1509721218_9_prb77329_11_.json,6,3,6,3,8,11,11,1,4
../psiturk-rushhour/static/json/1509467453_74_prb11838_9_.json,6,3,3,6,8,8,9,0,1
../psiturk-rushhour/static/json/1509470788_76_prb13466_19_.json,6,3,6,3,5,6,19,0,1
../psiturk-rushhour/static/json/1509641229_83_prb60955_14_.json,6,3,6,3,9,13,14,1,6
../psiturk-rushhour/static/json/1509573431_97_prb41774_13_.json,6,3,6,3,9,14,13,1,7
../psiturk-rushhour/static/json/1509555428_47_prb33717_11_.json,6,3,4,5,7,13,11,1,5
../psiturk-rushhour/static/json/1509420940_67_prb1228_9_.json,6,3,5,4,6,8,9,1,5
../psiturk-rushhour/static/json/1509488318_98_prb20835_10_.json,6,3,4,5,7,8,10,0,1
../psiturk-rushhour/static/json/1509602474_24_prb53328_11_.json,6,3,3,6,9,13,11,1,4
../psiturk-rushhour/static/json/1509481222_67_prb19369_9_.json,6,3,4,5,9,13,9,1,5
../psiturk-rushhour/static/json/1509712711_59_prb74390_11_.json,6,3,6,3,5,6,11,0,1
../psiturk-rushhour/static/json/1509632444_16_prb58055_10_.json,6,3,4,5,8,12,10,1,5
../psiturk-rushhour/static/json/1509546664_82_prb28973_9_.json,6,3,6,3,9,12,9,1,5
../psiturk-rushhour/static/json/1509591848_04_prb50213_10_.json,6,3,5,4,7,10,10,0,1
../psiturk-rushhour/static/json/1509575019_71_prb42677_14_.json,6,3,3,6,8,12,14,1,5
../psiturk-rushhour/static/json/1509553718_1_prb32596_11_.json,6,3,5,4,9,15,11,0,1
../psiturk-rushhour/static/json/1509481280_68_prb19411_13_.json,6,3,4,5,9,13,13,1,6
../psiturk-rushhour/static/json/1509473670_39_prb15205_9_.json,6,3,2,7,7,9,9,1,7
../psiturk-rushhour/static/json/1509553362_36_prb32352_10_.json,6,3,3,6,8,11,10,1,6
../psiturk-rushhour/static/json/1509674097_96_prb68594_10_.json,6,3,5,4,9,10,10,0,1
../psiturk-rushhour/static/json/1509491860_55_prb22792_10_.json,6,3,4,5,5,6,10,0,1
../psiturk-rushhour/static/json/1509575509_8_prb42959_11_.json,6,3,4,5,8,11,11,1,6
../psiturk-rushhour/static/json/1509630567_29_prb57504_11_.json,6,3,4,5,8,14,11,1,6
../psiturk-rushhour/static/json/1509551203_34_prb31249_11_.json,6,3,4,5,7,9,11,0,1
../psiturk-rushhour/static/json/1509706021_15_prb73112_10_.json,6,3,4,5,9,9,10,0,1
../psiturk-rushhour/static/json/1509710154_24_prb73855_13_.json,6,3,4,5,9,15,13,1,7
../psiturk-rushhour/static/json/1509567788_34_prb38859_9_.json,6,3,4,5,7,11,9,1,5
../psiturk-rushhour/static/json/1509490089_4_prb21549_9_.json,6,3,5,4,5,6,9,0,1
../psiturk-rushhour/static/json/1509723682_71_prb78717_9_.json,6,3,4,5,9,10,9,1,4
../psiturk-rushhour/static/json/1509577689_14_prb44198_11_.json,6,3,5,4,8,11,11,1,5
../psiturk-rushhour/static/json/1509583598_32_prb45512_13_.json,6,3,4,5,7,8,13,0,1
../psiturk-rushhour/static/json/1509558346_29_prb35378_11_.json,6,3,5,4,8,10,11,1,4
../psiturk-rushhour/static/json/1509644695_55_prb62871_9_.json,6,3,5,4,8,11,9,1,5
../psiturk-rushhour/static/json/1509730668_48_prb81668_11_.json,6,3,6,3,9,11,11,1,4
../psiturk-rushhour/static/json/1509504627_83_prb26452_9_.json,6,3,4,5,7,9,9,0,1
../psiturk-rushhour/static/json/1509681088_86_prb71903_10_.json,6,3,5,4,4,5,10,0,1
../psiturk-rushhour/static/json/1509470294_92_prb13179_10_.json,6,3,6,3,8,15,10,1,6
../psiturk-rushhour/static/json/1509473551_81_prb15117_10_.json,6,3,4,5,8,10,10,0,1
../psiturk-rushhour/static/json/1509421692_87_prb1626_10_.json,6,3,5,4,8,14,10,1,6
../psiturk-rushhour/static/json/1509727568_13_prb80791_9_.json,6,3,4,5,6,6,9,0,1
../psiturk-rushhour/static/json/1509423667_24_prb2718_9_.json,6,3,6,3,6,7,9,0,1
../psiturk-rushhour/static/json/1509672443_18_prb67643_9_.json,6,3,5,4,7,8,9,0,1
../psiturk-rushhour/static/json/1509472757_05_prb14662_10_.json,6,3,6,3,6,6,10,0,1
../psiturk-rushhour/static/json/1509709962_35_prb73723_11_.json,6,3,3,6,8,9,11,0,1
../psiturk-rushhour/static/json/1509591578_53_prb50140_9_.json,6,3,4,5,7,8,9,1,5
../psiturk-rushhour/static/json/1509656284_79_prb66618_10_.json,6,3,4,5,9,12,10,1,5
../psiturk-rushhour/static/json/1509507382_72_prb27463_12_.json,6,3,6,3,7,8,12,0,1
../psiturk-rushhour/static/json/1509719399_6_prb76454_9_.json,6,3,4,5,8,12,9,1,5
../psiturk-rushhour/static/json/1509458834_12_prb7322_9_.json,6,3,5,4,5,5,9,0,1
../psiturk-rushhour/static/json/1509623902_62_prb56140_12_.json,6,3,4,5,9,15,12,1,7
../psiturk-rushhour/static/json/1509612590_88_prb55185_10_.json,6,3,3,6,8,9,10,1,5
../psiturk-rushhour/static/json/1509480131_17_prb18788_15_.json,6,3,4,5,7,8,15,0,1
../psiturk-rushhour/static/json/1509564695_81_prb37610_9_.json,6,3,3,6,6,6,9,0,1
../psiturk-rushhour/static/json/1509638070_51_prb59346_10_.json,6,3,5,4,6,8,10,1,4
