jsonfile,car_2,car_3,v_size,h_size,mag_nodes,mag_edges,path_length,num_sccs,max_scc_size
../psiturk-rushhour/static/json/1509466458_37_prb11282_14_.json,6,3,5,4,8,9,14,1,4
../psiturk-rushhour/static/json/1509557545_35_prb34920_11_.json,6,3,4,5,6,12,11,1,5
../psiturk-rushhour/static/json/1509480276_05_prb18949_11_.json,6,3,5,4,9,14,11,1,8
../psiturk-rushhour/static/json/1509465237_99_prb10626_16_.json,6,3,6,3,8,13,16,1,7
../psiturk-rushhour/static/json/1509427863_51_prb4365_16_.json,6,3,4,5,9,15,16,1,4
../psiturk-rushhour/static/json/1509473974_89_prb15412_11_.json,6,3,5,4,7,8,11,1,4
../psiturk-rushhour/static/json/1509709140_49_prb73169_11_.json,6,3,4,5,9,12,11,1,6
../psiturk-rushhour/static/json/1509455917_16_prb6631_11_.json,6,3,5,4,9,14,11,1,5
../psiturk-rushhour/static/json/1513876924_9_prb40954_7_.json,6,3,4,5,6,7,7,1,4
../psiturk-rushhour/static/json/1509639902_66_prb60292_11_.json,6,3,3,6,9,13,11,1,6
../psiturk-rushhour/static/json/1509487473_05_prb20561_11_.json,6,3,4,5,6,11,11,0,1
../psiturk-rushhour/static/json/1509479376_37_prb18275_14_.json,6,3,6,3,9,13,14,1,6
../psiturk-rushhour/static/json/1513821772_71_prb4147_7_.json,6,3,4,5,6,6,7,0,1
../psiturk-rushhour/static/json/1509720921_28_prb77214_16_.json,6,3,5,4,9,13,16,1,7
../psiturk-rushhour/static/json/1513827651_38_prb14035_7_.json,6,3,4,5,6,7,7,1,4
../psiturk-rushhour/static/json/1509503581_83_prb25861_16_.json,6,3,5,4,9,15,16,1,6
../psiturk-rushhour/static/json/1509447299_88_prb5729_11_.json,6,3,4,5,7,9,11,1,4
../psiturk-rushhour/static/json/1513821533_99_prb3690_7_.json,6,3,5,4,4,5,7,0,1
../psiturk-rushhour/static/json/1513871141_27_prb36383_7_.json,6,3,5,4,9,14,7,1,4
../psiturk-rushhour/static/json/1509420986_61_prb1267_16_.json,6,3,4,5,9,13,16,1,6
../psiturk-rushhour/static/json/1509643394_25_prb62096_16_.json,6,3,3,6,9,9,16,0,1
../psiturk-rushhour/static/json/1509466285_27_prb11222_14_.json,6,3,5,4,7,10,14,1,5
../psiturk-rushhour/static/json/1509606960_34_prb54153_14_.json,6,3,6,3,7,11,14,1,4
../psiturk-rushhour/static/json/1509546655_55_prb28956_14_.json,6,3,5,4,6,6,14,0,1
../psiturk-rushhour/static/json/1509424438_88_prb3203_14_.json,6,3,7,2,5,6,14,0,1
../psiturk-rushhour/static/json/1513823819_79_prb7269_7_.json,6,3,6,3,5,6,7,1,4
../psiturk-rushhour/static/json/1509629349_75_prb57223_16_.json,6,3,5,4,9,16,16,1,7
../psiturk-rushhour/static/json/1513827376_12_prb13454_7_.json,6,3,5,4,6,6,7,0,1
../psiturk-rushhour/static/json/1509583577_87_prb45486_14_.json,6,3,5,4,8,10,14,1,4
../psiturk-rushhour/static/json/1513878746_41_prb42703_7_.json,6,3,4,5,6,6,7,0,1
../psiturk-rushhour/static/json/1509726080_27_prb80229_14_.json,6,3,6,3,8,11,14,0,1
../psiturk-rushhour/static/json/1509495640_06_prb24227_16_.json,6,3,4,5,9,16,16,1,6
../psiturk-rushhour/static/json/1509623373_2_prb55905_16_.json,6,3,5,4,9,15,16,1,6
../psiturk-rushhour/static/json/1509468630_51_prb12360_14_.json,6,3,4,5,9,16,14,1,9
../psiturk-rushhour/static/json/1509482013_3_prb19889_11_.json,6,3,5,4,6,9,11,0,1
../psiturk-rushhour/static/json/1509724878_89_prb79358_11_.json,6,3,6,3,9,14,11,1,5
../psiturk-rushhour/static/json/1509467170_39_prb11650_16_.json,6,3,4,5,5,5,16,0,1
../psiturk-rushhour/static/json/1509632088_9_prb57865_11_.json,6,3,4,5,7,9,11,1,4
../psiturk-rushhour/static/json/1513827029_03_prb12839_7_.json,6,3,5,4,5,6,7,1,4
../psiturk-rushhour/static/json/1509592274_66_prb50438_11_.json,6,3,4,5,8,12,11,1,5
../psiturk-rushhour/static/json/1509568172_65_prb39085_11_.json,6,3,5,4,6,7,11,0,1
../psiturk-rushhour/static/json/1509467456_36_prb11839_11_.json,6,3,4,5,9,16,11,1,7
../psiturk-rushhour/static/json/1513878463_61_prb42063_7_.json,6,3,3,6,6,6,7,0,1
../psiturk-rushhour/static/json/1509578815_26_prb44792_11_.json,6,3,4,5,9,12,11,1,5
../psiturk-rushhour/static/json/1513872029_44_prb38419_7_.json,6,3,4,5,5,6,7,1,4
../psiturk-rushhour/static/json/1509563632_77_prb37224_16_.json,6,3,3,6,8,15,16,1,7
../psiturk-rushhour/static/json/1509463186_98_prb9596_14_.json,6,3,6,3,7,11,14,1,5
../psiturk-rushhour/static/json/1509598888_17_prb52287_16_.json,6,3,5,4,5,5,16,0,1
../psiturk-rushhour/static/json/1509491188_43_prb22370_16_.json,6,3,4,5,9,15,16,1,5
../psiturk-rushhour/static/json/1513857367_38_prb21378_7_.json,6,3,7,2,6,6,7,0,1
../psiturk-rushhour/static/json/1509632387_2_prb58000_11_.json,6,3,4,5,8,13,11,1,7
../psiturk-rushhour/static/json/1513866416_99_prb25732_7_.json,6,3,3,6,6,6,7,0,1
../psiturk-rushhour/static/json/1509562189_18_prb36597_11_.json,6,3,3,6,6,6,11,0,1
../psiturk-rushhour/static/json/1509425575_56_prb3809_16_.json,6,3,6,3,5,5,16,0,1
../psiturk-rushhour/static/json/1509551163_42_prb31214_16_.json,6,3,3,6,9,13,16,2,6
../psiturk-rushhour/static/json/1509549032_06_prb30149_14_.json,6,3,5,4,6,6,14,0,1
../psiturk-rushhour/static/json/1509427854_56_prb4354_14_.json,6,3,5,4,8,10,14,1,5
../psiturk-rushhour/static/json/1509607238_15_prb54193_14_.json,6,3,6,3,5,5,14,0,1
../psiturk-rushhour/static/json/1509475912_92_prb16445_16_.json,6,3,6,3,9,13,16,1,6
../psiturk-rushhour/static/json/1509419172_66_prb128_11_.json,6,3,4,5,8,10,11,1,4
../psiturk-rushhour/static/json/1513821735_57_prb4076_7_.json,6,3,5,4,6,6,7,0,1
../psiturk-rushhour/static/json/1513856911_44_prb20267_7_.json,6,3,5,4,7,8,7,1,4
../psiturk-rushhour/static/json/1509547500_78_prb29600_14_.json,6,3,6,3,9,12,14,1,6
../psiturk-rushhour/static/json/1509481208_68_prb19356_14_.json,6,3,4,5,9,10,14,0,1
../psiturk-rushhour/static/json/1513870433_6_prb34734_7_.json,6,3,3,6,6,7,7,0,1
../psiturk-rushhour/static/json/1509474918_36_prb15945_14_.json,6,3,4,5,9,15,14,1,6
../psiturk-rushhour/static/json/1513825240_8_prb9850_7_.json,6,3,3,6,6,6,7,0,1
../psiturk-rushhour/static/json/1513857010_51_prb20518_7_.json,6,3,3,6,6,6,7,0,1
../psiturk-rushhour/static/json/1509457858_6_prb6671_14_.json,6,3,7,2,6,9,14,1,4
../psiturk-rushhour/static/json/1509565548_04_prb37893_16_.json,6,3,5,4,8,10,16,0,1
