jsonfile,car_2,car_3,v_size,h_size,mag_nodes,mag_edges,path_length,num_sccs,max_scc_size
../psiturk-rushhour/static/json/1509730317_61_prb81632_11_.json,6,3,3,6,9,13,11,1,6
../psiturk-rushhour/static/json/1509558860_09_prb35611_14_.json,6,3,3,6,9,11,14,1,7
../psiturk-rushhour/static/json/1509674496_11_prb68855_14_.json,6,3,3,6,6,8,14,0,1
../psiturk-rushhour/static/json/1509568380_23_prb39209_11_.json,6,3,3,6,6,8,11,0,1
../psiturk-rushhour/static/json/1509480276_05_prb18949_11_.json,6,3,5,4,9,14,11,1,8
../psiturk-rushhour/static/json/1509502982_46_prb25604_16_.json,6,3,6,3,8,11,16,1,4
../psiturk-rushhour/static/json/1509546793_06_prb29027_16_.json,6,3,3,6,9,15,16,1,6
../psiturk-rushhour/static/json/1509503629_34_prb25871_14_.json,6,3,5,4,9,10,14,0,1
../psiturk-rushhour/static/json/1509563632_77_prb37224_16_.json,6,3,3,6,8,15,16,1,7
../psiturk-rushhour/static/json/1509587761_38_prb48146_16_.json,6,3,5,4,8,11,16,1,4
../psiturk-rushhour/static/json/1509575539_8_prb42976_11_.json,6,3,5,4,6,7,11,0,1
../psiturk-rushhour/static/json/1509424444_59_prb3217_11_.json,6,3,4,5,9,12,11,1,4
../psiturk-rushhour/static/json/1513822376_43_prb5413_7_.json,6,3,4,5,6,6,7,0,1
../psiturk-rushhour/static/json/1509639902_66_prb60292_11_.json,6,3,3,6,9,13,11,1,6
../psiturk-rushhour/static/json/1509479376_37_prb18275_14_.json,6,3,6,3,9,13,14,1,6
../psiturk-rushhour/static/json/1509717391_88_prb75413_16_.json,6,3,6,3,9,15,16,1,7
../psiturk-rushhour/static/json/1509641229_83_prb60955_14_.json,6,3,6,3,9,13,14,1,6
../psiturk-rushhour/static/json/1513871607_86_prb37446_7_.json,6,3,3,6,7,8,7,0,1
../psiturk-rushhour/static/json/1513826098_58_prb11119_7_.json,6,3,4,5,6,7,7,1,4
../psiturk-rushhour/static/json/1513820033_06_prb746_7_.json,6,3,4,5,8,11,7,0,1
../psiturk-rushhour/static/json/1509503581_83_prb25861_16_.json,6,3,5,4,9,15,16,1,6
../psiturk-rushhour/static/json/1509483514_15_prb20484_11_.json,6,3,6,3,6,6,11,0,1
../psiturk-rushhour/static/json/1513821093_48_prb3009_7_.json,6,3,6,3,7,8,7,1,4
../psiturk-rushhour/static/json/1509422263_59_prb1969_11_.json,6,3,4,5,7,9,11,1,4
../psiturk-rushhour/static/json/1513823754_07_prb7126_7_.json,6,3,4,5,6,7,7,0,1
../psiturk-rushhour/static/json/1513866786_91_prb26567_7_.json,6,3,5,4,6,8,7,1,4
../psiturk-rushhour/static/json/1513823819_79_prb7269_7_.json,6,3,6,3,5,6,7,1,4
../psiturk-rushhour/static/json/1509629349_75_prb57223_16_.json,6,3,5,4,9,16,16,1,7
../psiturk-rushhour/static/json/1509474295_6_prb15595_16_.json,6,3,3,6,9,16,16,1,8
../psiturk-rushhour/static/json/1509584463_14_prb46098_14_.json,6,3,3,6,8,11,14,1,5
../psiturk-rushhour/static/json/1509447234_71_prb5674_11_.json,6,3,3,6,6,7,11,0,1
../psiturk-rushhour/static/json/1513866746_81_prb26519_7_.json,6,3,3,6,8,10,7,1,7
../psiturk-rushhour/static/json/1509471637_19_prb14080_11_.json,6,3,5,4,7,8,11,1,4
../psiturk-rushhour/static/json/1509681117_76_prb71939_14_.json,6,3,6,3,7,8,14,0,1
../psiturk-rushhour/static/json/1509585227_74_prb46580_16_.json,6,3,5,4,8,11,16,1,4
../psiturk-rushhour/static/json/1509467170_39_prb11650_16_.json,6,3,4,5,5,5,16,0,1
../psiturk-rushhour/static/json/1509573701_45_prb41956_11_.json,6,3,5,4,7,8,11,0,1
../psiturk-rushhour/static/json/1509630567_29_prb57504_11_.json,6,3,4,5,8,14,11,1,6
