subject, instance, optimal_length, move_number, move, pre_actions,meta_move, rt, trial_number, progress, distance_to_goal
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,0,6@18,1,drag_end,2783.0,1,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,1,5@4,1,drag_end,2176.0,1,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,2,7@20,1,drag_end,968.0,1,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,3,1@30,1,drag_end,505.0,1,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,4,7@26,1,drag_end,641.0,1,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,5,6@21,1,drag_end,1325.0,1,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,6,r@12,1,drag_end,1033.0,1,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,7,7@14,1,drag_end,743.0,1,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,8,2@24,1,drag_end,530.0,1,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,9,6@22,1,drag_end,663.0,1,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,10,3@21,1,drag_end,609.0,1,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,11,4@6,1,drag_end,1303.0,1,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,11,5@10,1,drag_end,487.0,1,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,12,0@11,1,drag_end,457.0,1,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,13,3@3,1,drag_end,865.0,1,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,14,6@21,1,drag_end,1056.0,1,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,15,0@29,1,drag_end,1142.0,1,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,16,6@22,1,drag_end,521.0,1,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,17,3@21,1,drag_end,872.0,1,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,18,5@4,1,drag_end,624.0,1,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,19,4@6,1,drag_end,872.0,1,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,19,5@10,1,drag_end,817.0,1,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,20,5@4,1,drag_end,359.0,1,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,21,3@3,1,drag_end,784.0,1,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,22,3@15,1,drag_end,1920.0,1,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,23,4@7,1,drag_end,536.0,1,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,24,5@10,1,drag_end,496.0,1,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,25,5@4,1,drag_end,465.0,1,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,26,4@6,1,drag_end,422.0,1,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,27,3@3,1,drag_end,540.0,1,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,28,2@26,1,drag_end,629.0,1,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,29,2@24,1,drag_end,561.0,1,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,30,1@33,1,drag_end,465.0,1,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,31,2@24,1,drag_end,710.0,1,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,31,7@14,1,drag_end,953.0,1,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,0,6@18,1,drag_end,1269.0,2,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,1,7@20,1,drag_end,1273.0,2,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,2,1@30,1,drag_end,711.0,2,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,3,7@26,1,drag_end,2474.0,2,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,4,r@12,1,drag_end,556.0,2,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,5,7@14,1,drag_end,506.0,2,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,6,2@24,1,drag_end,663.0,2,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,7,5@28,1,drag_end,913.0,2,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,8,0@29,1,drag_end,703.0,2,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,9,3@21,1,drag_end,1361.0,2,NA,NA
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,11,10,3@3,1,drag_end,745.0,2,NA,NA
