PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='9', t='1516304047660', event='start', piece='NA', move_nu='0', move='NA', instance='prb9718')|11|1607|19362|758|1607

PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='11', t='1516304050443', event='drag_end', piece='6', move_nu='0', move='18', instance='prb9718')|10|1390|17225|863|1390

PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='13', t='1516304052619', event='drag_end', piece='5', move_nu='1', move='4', instance='prb9718')|10|1390|17081|881|1390

PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='15', t='1516304053587', event='drag_end', piece='7', move_nu='2', move='20', instance='prb9718')|10|1262|15800|838|1262

PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='17', t='1516304054092', event='drag_end', piece='1', move_nu='3', move='30', instance='prb9718')|10|1303|16342|879|1303

PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='19', t='1516304054733', event='drag_end', piece='7', move_nu='4', move='26', instance='prb9718')|10|1369|16963|874|1369

PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='21', t='1516304056058', event='drag_end', piece='6', move_nu='5', move='21', instance='prb9718')|11|1613|19393|507|1613

PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='23', t='1516304057091', event='drag_end', piece='r', move_nu='6', move='12', instance='prb9718')|10|1486|18185|789|1486

PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='25', t='1516304057834', event='drag_end', piece='7', move_nu='7', move='14', instance='prb9718')|11|1699|20291|462|1699

PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='27', t='1516304058364', event='drag_end', piece='2', move_nu='8', move='24', instance='prb9718')|12|1703|20325|454|1703

PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='29', t='1516304059027', event='drag_end', piece='6', move_nu='9', move='22', instance='prb9718')|12|1716|20444|692|1716

PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='31', t='1516304059636', event='drag_end', piece='3', move_nu='10', move='21', instance='prb9718')|13|1708|20353|453|1708

PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='35', t='1516304061426', event='drag_end', piece='5', move_nu='11', move='10', instance='prb9718')|13|1745|20808|669|1745

PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='37', t='1516304061883', event='drag_end', piece='0', move_nu='12', move='11', instance='prb9718')|13|1790|21413|594|1790

PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='39', t='1516304062748', event='drag_end', piece='3', move_nu='13', move='3', instance='prb9718')|12|1786|21374|588|1786

PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='41', t='1516304063804', event='drag_end', piece='6', move_nu='14', move='21', instance='prb9718')|12|1805|21579|586|1805

PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='43', t='1516304064946', event='drag_end', piece='0', move_nu='15', move='29', instance='prb9718')|13|2038|24344|395|2038

PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='45', t='1516304065467', event='drag_end', piece='6', move_nu='16', move='22', instance='prb9718')|14|2032|24283|390|2032

PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='47', t='1516304066339', event='drag_end', piece='3', move_nu='17', move='21', instance='prb9718')|15|2034|24302|391|2034

PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='49', t='1516304066963', event='drag_end', piece='5', move_nu='18', move='4', instance='prb9718')|15|1963|23431|559|1963

PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='53', t='1516304068652', event='drag_end', piece='5', move_nu='19', move='10', instance='prb9718')|15|2034|24299|465|2034

PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='55', t='1516304069011', event='drag_end', piece='5', move_nu='20', move='4', instance='prb9718')|15|1969|23491|560|1969

PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='57', t='1516304069795', event='drag_end', piece='3', move_nu='21', move='3', instance='prb9718')|14|1960|23397|549|1960

PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='59', t='1516304071715', event='drag_end', piece='3', move_nu='22', move='15', instance='prb9718')|15|1968|23484|430|1968

PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='61', t='1516304072251', event='drag_end', piece='4', move_nu='23', move='7', instance='prb9718')|16|1962|23419|420|1962

PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='63', t='1516304072747', event='drag_end', piece='5', move_nu='24', move='10', instance='prb9718')|16|2037|24334|468|2037

PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='65', t='1516304073212', event='drag_end', piece='5', move_nu='25', move='4', instance='prb9718')|16|1962|23413|553|1962

PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='67', t='1516304073634', event='drag_end', piece='4', move_nu='26', move='6', instance='prb9718')|15|1968|23483|564|1968

PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='69', t='1516304074174', event='drag_end', piece='3', move_nu='27', move='3', instance='prb9718')|14|1971|23512|566|1971

PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='71', t='1516304074803', event='drag_end', piece='2', move_nu='28', move='26', instance='prb9718')|14|1964|23443|554|1964

PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='73', t='1516304075364', event='drag_end', piece='2', move_nu='29', move='24', instance='prb9718')|14|1963|23432|555|1963

PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='75', t='1516304075829', event='drag_end', piece='1', move_nu='30', move='33', instance='prb9718')|15|2374|28278|269|2374

PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='81', t='1516304078519', event='start', piece='NA', move_nu='0', move='NA', instance='prb9718')|11|1614|19453|778|1614

PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='83', t='1516304079788', event='drag_end', piece='6', move_nu='0', move='18', instance='prb9718')|10|1389|17215|865|1389

PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='85', t='1516304081061', event='drag_end', piece='7', move_nu='1', move='20', instance='prb9718')|10|1279|16093|837|1279

PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='87', t='1516304081772', event='drag_end', piece='1', move_nu='2', move='30', instance='prb9718')|10|1310|16520|889|1310

PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='89', t='1516304084246', event='drag_end', piece='7', move_nu='3', move='26', instance='prb9718')|10|1387|17247|900|1387

PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='91', t='1516304084802', event='drag_end', piece='r', move_nu='4', move='12', instance='prb9718')|9|1262|16051|921|1262

PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='93', t='1516304085308', event='drag_end', piece='7', move_nu='5', move='14', instance='prb9718')|8|975|13106|799|975

PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='95', t='1516304085971', event='drag_end', piece='2', move_nu='6', move='24', instance='prb9718')|7|712|9817|582|712

PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='97', t='1516304086884', event='drag_end', piece='5', move_nu='7', move='28', instance='prb9718')|6|405|5586|602|405

PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='99', t='1516304087587', event='drag_end', piece='0', move_nu='8', move='29', instance='prb9718')|5|194|2653|457|194

PsiturkRec(worker='A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN', ord='101', t='1516304088948', event='drag_end', piece='3', move_nu='9', move='21', instance='prb9718')|4|101|1301|277|101

