samples,ll,model
10,-300.916290732,A*
50,-74.9957668357,A*
100,-13.6299941103,A*
1000,-14.9026475959,A*
10000,-15.0333339058,A*
100000,-14.9885801685,A*
10,-360.0,A*+tasks
50,-191.042921836,A*+tasks
100,-135.42494847,A*+tasks
1000,-79.0607043062,A*+tasks
100000,-79.1931113519,A*+tasks
10,-52.302585093,A*h:zerohf:1*(g+1)+1his_stop:<lambda>lapse_rate:0search_lapse:0
50,-14.8134452789,A*h:zerohf:1*(g+1)+1his_stop:<lambda>lapse_rate:0search_lapse:0
100,-18.9415567036,A*h:zerohf:1*(g+1)+1his_stop:<lambda>lapse_rate:0search_lapse:0
1000,-14.1928901846,A*h:zerohf:1*(g+1)+1his_stop:<lambda>lapse_rate:0search_lapse:0
10000,-15.0309774009,A*h:zerohf:1*(g+1)+1his_stop:<lambda>lapse_rate:0search_lapse:0
10,-43.2188758249,A*h:zerohf:1*(g+1)+1his_stop:<lambda>lapse_rate:0search_lapse:0.4
50,-16.1509494758,A*h:zerohf:1*(g+1)+1his_stop:<lambda>lapse_rate:0search_lapse:0.4
100,-13.79019375,A*h:zerohf:1*(g+1)+1his_stop:<lambda>lapse_rate:0search_lapse:0.4
1000,-14.5230121286,A*h:zerohf:1*(g+1)+1his_stop:<lambda>lapse_rate:0search_lapse:0.4
10000,-14.4529477157,A*h:zerohf:1*(g+1)+1his_stop:<lambda>lapse_rate:0search_lapse:0.4
10,-52.302585093,A*h:zerohf:1*(g+1)+1his_stop:<lambda>lapse_rate:0search_lapse:0.2
50,-14.5770565008,A*h:zerohf:1*(g+1)+1his_stop:<lambda>lapse_rate:0search_lapse:0.2
100,-21.5363988212,A*h:zerohf:1*(g+1)+1his_stop:<lambda>lapse_rate:0search_lapse:0.2
1000,-14.1938589313,A*h:zerohf:1*(g+1)+1his_stop:<lambda>lapse_rate:0search_lapse:0.2
10000,-14.6046439899,A*h:zerohf:1*(g+1)+1his_stop:<lambda>lapse_rate:0search_lapse:0.2
10,-18.5171931914,A*h:zerohf:1*(g+1)+1his_stop:<lambda>lapse_rate:0.1search_lapse:0
50,-21.3226357385,A*h:zerohf:1*(g+1)+1his_stop:<lambda>lapse_rate:0.1search_lapse:0
100,-15.1546160363,A*h:zerohf:1*(g+1)+1his_stop:<lambda>lapse_rate:0.1search_lapse:0
1000,-16.5176747556,A*h:zerohf:1*(g+1)+1his_stop:<lambda>lapse_rate:0.1search_lapse:0
10000,-15.8699485479,A*h:zerohf:1*(g+1)+1his_stop:<lambda>lapse_rate:0.1search_lapse:0
