jsonfile,car_2,car_3,v_size,h_size,mag_nodes,mag_edges,path_length,num_sccs,max_scc_size
../psiturk-rushhour/static/json/1513819594_19_prb1640_7_.json,6,3,4,5,8,12,7,1,4
../psiturk-rushhour/static/json/1509501314_46_prb24776_11_.json,6,3,5,4,9,12,11,1,4
../psiturk-rushhour/static/json/1513806914_39_prb1021_7_.json,6,3,3,6,6,7,7,0,1
../psiturk-rushhour/static/json/1513866876_74_prb26746_7_.json,6,3,3,6,5,6,7,0,1
../psiturk-rushhour/static/json/1509682764_39_prb72800_14_.json,6,3,4,5,8,8,14,0,1
../psiturk-rushhour/static/json/1509584463_14_prb46098_14_.json,6,3,3,6,8,11,14,1,5
../psiturk-rushhour/static/json/1509503629_34_prb25871_14_.json,6,3,5,4,9,10,14,0,1
../psiturk-rushhour/static/json/1509464472_82_prb10166_16_.json,6,3,6,3,9,14,16,1,6
../psiturk-rushhour/static/json/1513877948_25_prb41204_7_.json,6,3,3,6,6,9,7,1,4
../psiturk-rushhour/static/json/1509586437_07_prb47346_14_.json,6,3,4,5,9,12,14,1,6
../psiturk-rushhour/static/json/1509556503_33_prb34360_16_.json,6,3,5,4,8,12,16,1,6
../psiturk-rushhour/static/json/1513857506_47_prb21706_7_.json,6,3,4,5,6,6,7,0,1
../psiturk-rushhour/static/json/1509641229_83_prb60955_14_.json,6,3,6,3,9,13,14,1,6
../psiturk-rushhour/static/json/1509469771_03_prb12911_14_.json,6,3,5,4,8,12,14,1,5
../psiturk-rushhour/static/json/1509626702_97_prb56654_11_.json,6,3,4,5,8,8,11,0,1
../psiturk-rushhour/static/json/1509720921_28_prb77214_16_.json,6,3,5,4,9,13,16,1,7
../psiturk-rushhour/static/json/1509491386_49_prb22491_11_.json,6,3,6,3,9,13,11,1,4
../psiturk-rushhour/static/json/1509585227_74_prb46580_16_.json,6,3,5,4,8,11,16,1,4
../psiturk-rushhour/static/json/1509723081_66_prb78449_16_.json,6,3,5,4,9,13,16,0,1
../psiturk-rushhour/static/json/1509554537_6_prb33075_11_.json,6,3,5,4,8,9,11,0,1
../psiturk-rushhour/static/json/1513822059_7_prb4726_7_.json,6,3,2,7,6,6,7,0,1
../psiturk-rushhour/static/json/1513821093_48_prb3009_7_.json,6,3,6,3,7,8,7,1,4
../psiturk-rushhour/static/json/1509420986_61_prb1267_16_.json,6,3,4,5,9,13,16,1,6
../psiturk-rushhour/static/json/1509422263_59_prb1969_11_.json,6,3,4,5,7,9,11,1,4
../psiturk-rushhour/static/json/1509582949_82_prb45130_14_.json,6,3,5,4,8,10,14,1,5
../psiturk-rushhour/static/json/1509424438_88_prb3203_14_.json,6,3,7,2,5,6,14,0,1
../psiturk-rushhour/static/json/1513866965_93_prb26951_7_.json,6,3,6,3,4,5,7,1,4
../psiturk-rushhour/static/json/1513829676_03_prb17817_7_.json,6,3,5,4,6,6,7,0,1
../psiturk-rushhour/static/json/1509629349_75_prb57223_16_.json,6,3,5,4,9,16,16,1,7
../psiturk-rushhour/static/json/1509551163_42_prb31214_16_.json,6,3,3,6,9,13,16,2,6
../psiturk-rushhour/static/json/1509467597_46_prb11905_11_.json,6,3,6,3,8,10,11,1,4
../psiturk-rushhour/static/json/1509503581_83_prb25861_16_.json,6,3,5,4,9,15,16,1,6
../psiturk-rushhour/static/json/1513866855_87_prb26715_7_.json,6,3,6,3,6,7,7,0,1
../psiturk-rushhour/static/json/1509495640_06_prb24227_16_.json,6,3,4,5,9,16,16,1,6
../psiturk-rushhour/static/json/1509493367_95_prb23404_14_.json,6,3,6,3,6,6,14,0,1
../psiturk-rushhour/static/json/1513866080_13_prb24970_7_.json,6,3,4,5,6,7,7,1,4
../psiturk-rushhour/static/json/1509641430_73_prb61014_11_.json,6,3,5,4,8,14,11,1,6
../psiturk-rushhour/static/json/1509623373_2_prb55905_16_.json,6,3,5,4,9,15,16,1,6
../psiturk-rushhour/static/json/1509468630_51_prb12360_14_.json,6,3,4,5,9,16,14,1,9
../psiturk-rushhour/static/json/1509490252_19_prb21718_11_.json,6,3,4,5,9,13,11,1,6
../psiturk-rushhour/static/json/1509461881_23_prb8698_14_.json,6,3,5,4,5,5,14,0,1
../psiturk-rushhour/static/json/1509464187_34_prb10092_11_.json,6,3,5,4,7,11,11,1,4
../psiturk-rushhour/static/json/1513872865_35_prb40210_7_.json,6,3,4,5,6,6,7,0,1
../psiturk-rushhour/static/json/1509467170_39_prb11650_16_.json,6,3,4,5,5,5,16,0,1
../psiturk-rushhour/static/json/1509568172_65_prb39085_11_.json,6,3,5,4,6,7,11,0,1
../psiturk-rushhour/static/json/1509419634_45_prb343_14_.json,6,3,4,5,9,12,14,1,4
../psiturk-rushhour/static/json/1509578815_26_prb44792_11_.json,6,3,4,5,9,12,11,1,5
../psiturk-rushhour/static/json/1509585277_63_prb46639_16_.json,6,3,4,5,8,11,16,1,7
../psiturk-rushhour/static/json/1509421474_08_prb1520_11_.json,6,3,5,4,8,9,11,1,4
../psiturk-rushhour/static/json/1513867931_06_prb29094_7_.json,6,3,3,6,4,4,7,0,1
../psiturk-rushhour/static/json/1513866949_95_prb26925_7_.json,6,3,7,2,6,7,7,0,1
../psiturk-rushhour/static/json/1509556959_89_prb34551_14_.json,6,3,7,2,7,9,14,1,4
../psiturk-rushhour/static/json/1509474295_6_prb15595_16_.json,6,3,3,6,9,16,16,1,8
../psiturk-rushhour/static/json/1513872609_68_prb39614_7_.json,6,3,7,2,6,6,7,0,1
../psiturk-rushhour/static/json/1509587761_38_prb48146_16_.json,6,3,5,4,8,11,16,1,4
../psiturk-rushhour/static/json/1509475622_04_prb16293_11_.json,6,3,6,3,8,11,11,1,4
../psiturk-rushhour/static/json/1509488403_92_prb20888_14_.json,6,3,4,5,4,4,14,0,1
../psiturk-rushhour/static/json/1509577099_01_prb43833_11_.json,6,3,6,3,8,11,11,1,4
../psiturk-rushhour/static/json/1509507280_11_prb27390_11_.json,6,3,4,5,9,10,11,1,4
../psiturk-rushhour/static/json/1509582850_96_prb45107_11_.json,6,3,5,4,9,15,11,1,5
../psiturk-rushhour/static/json/1509643011_44_prb61799_11_.json,6,3,3,6,8,9,11,1,4
../psiturk-rushhour/static/json/1509563632_77_prb37224_16_.json,6,3,3,6,8,15,16,1,7
../psiturk-rushhour/static/json/1509547084_31_prb29324_11_.json,6,3,4,5,6,8,11,0,1
../psiturk-rushhour/static/json/1509420356_65_prb813_16_.json,6,3,4,5,8,10,16,0,1
../psiturk-rushhour/static/json/1513827104_9_prb12983_7_.json,6,3,4,5,6,7,7,0,1
../psiturk-rushhour/static/json/1513857327_3_prb21272_7_.json,6,3,4,5,9,16,7,1,7
../psiturk-rushhour/static/json/1509481208_68_prb19356_14_.json,6,3,4,5,9,10,14,0,1
../psiturk-rushhour/static/json/1513865870_22_prb24459_7_.json,6,3,2,7,6,7,7,0,1
../psiturk-rushhour/static/json/1509422237_38_prb1941_14_.json,6,3,4,5,9,12,14,2,6
../psiturk-rushhour/static/json/1509457858_6_prb6671_14_.json,6,3,7,2,6,9,14,1,4
