samples function value
1 action-logp -1.21785714286
1 whole-Plan-logp -2.28333333333
10 action-logp -2.89426337551
10 whole-Plan-logp -2.10611032083
100 action-logp -2.53098398747
100 whole-Plan-logp -2.77704263706
1000 action-logp -2.69127447872
1000 whole-Plan-logp -2.91361344493
10000 action-logp -2.74135659319
10000 whole-Plan-logp -2.89536571791
100000 action-logp -2.74202758166
100000 whole-Plan-logp -2.88918035737
1000000 action-logp -2.7419359199
1000000 whole-Plan-logp -2.88862818041
0 real-logp -2.76462055259
2 action-logp -3.13115079365
2 whole-Plan-logp -3.22249356546
3 action-logp -3.0541005291
3 whole-Plan-logp -2.08743386243
4 action-logp -3.7005952381
4 whole-Plan-logp -3.06145207193
5 action-logp -1.88793151293
5 whole-Plan-logp -3.38871364957
6 action-logp -2.44847883598
6 whole-Plan-logp -3.8359056707
7 action-logp -2.89561277891
7 whole-Plan-logp -2.86651402375
8 action-logp -2.84061776663
8 whole-Plan-logp -3.42329931262
9 action-logp -3.54651397985
9 whole-Plan-logp -2.45930781275
10 action-logp -2.49091020091
10 whole-Plan-logp -3.14174538502
11 action-logp -2.70321067821
11 whole-Plan-logp -3.12468418953
12 action-logp -2.73628442457
12 whole-Plan-logp -2.80114451977
13 action-logp -2.86624209124
13 whole-Plan-logp -3.14634918827
14 action-logp -2.13988352917
14 whole-Plan-logp -2.59925962707
15 action-logp -2.19283068783
15 whole-Plan-logp -3.09552144251
16 action-logp -2.83795396667
16 whole-Plan-logp -2.94037036584
17 action-logp -2.7336043282
17 whole-Plan-logp -2.98664943227
18 action-logp -2.72547460256
18 whole-Plan-logp -2.43715708285
19 action-logp -2.5477443609
19 whole-Plan-logp -3.11974418858
20 action-logp -2.90382936508
20 whole-Plan-logp -3.01416240264
21 action-logp -2.71075379647
21 whole-Plan-logp -3.17148502497
22 action-logp -2.84370982553
22 whole-Plan-logp -2.81337741349
23 action-logp -2.91153727276
23 whole-Plan-logp -2.59192135816
24 action-logp -2.66256072019
24 whole-Plan-logp -2.98553752016
25 action-logp -2.91041652379
25 whole-Plan-logp -3.06726424426
26 action-logp -2.59134754135
26 whole-Plan-logp -2.55253439919
27 action-logp -2.76422600034
27 whole-Plan-logp -3.31454228664
28 action-logp -2.60883800198
28 whole-Plan-logp -2.75807764384
29 action-logp -3.01721228963
29 whole-Plan-logp -2.56676956103
30 action-logp -2.52534078394
30 whole-Plan-logp -2.90341255397
31 action-logp -2.82705041042
31 whole-Plan-logp -2.5728471778
32 action-logp -2.74309924186
32 whole-Plan-logp -2.89273264481
33 action-logp -3.02590881028
33 whole-Plan-logp -2.92965490114
34 action-logp -3.16167802179
34 whole-Plan-logp -2.97164367377
35 action-logp -2.80623217757
35 whole-Plan-logp -2.85737323383
36 action-logp -3.1619805349
36 whole-Plan-logp -2.81191096956
37 action-logp -2.39633204633
37 whole-Plan-logp -2.94598010193
38 action-logp -2.66676539834
38 whole-Plan-logp -3.04447262935
39 action-logp -2.74301806526
39 whole-Plan-logp -3.01789516366
40 action-logp -2.97241766031
40 whole-Plan-logp -2.9263769862
41 action-logp -2.69759364544
41 whole-Plan-logp -2.96127708553
42 action-logp -2.18258607445
42 whole-Plan-logp -3.00238851181
43 action-logp -2.47455787107
43 whole-Plan-logp -2.89622607068
44 action-logp -2.99777836728
44 whole-Plan-logp -2.57896884048
45 action-logp -2.99673669601
45 whole-Plan-logp -2.97143416924
46 action-logp -2.44414526579
46 whole-Plan-logp -2.83335010147
47 action-logp -2.74597814506
47 whole-Plan-logp -3.04352157655
48 action-logp -2.46360699486
48 whole-Plan-logp -3.15925089565
49 action-logp -2.76378719291
49 whole-Plan-logp -3.07757006885
50 action-logp -2.67339946512
50 whole-Plan-logp -2.97106242775
51 action-logp -2.52889502762
51 whole-Plan-logp -2.98523160032
52 action-logp -2.80665648454
52 whole-Plan-logp -2.99316392553
53 action-logp -2.83303112752
53 whole-Plan-logp -2.77468737468
54 action-logp -2.72647684671
54 whole-Plan-logp -2.89134640945
55 action-logp -2.51752300542
55 whole-Plan-logp -2.84500656189
56 action-logp -2.79759020741
56 whole-Plan-logp -2.77568002082
57 action-logp -2.6444556003
