Rec(t='1490030024.76', event='start', piece='None', move_nu='0', move='None', instance='Jam-2')|9|6344|64214|16003|419
Rec(t='1490030054.25', event='commit_move', piece='r', move_nu='0', move='(1, 2, 2)', instance='Jam-2')|8|2752|29056|14027|293
Rec(t='1490030056.18', event='commit_move', piece='b', move_nu='1', move='(0, 1, 2)', instance='Jam-2')|7|781|8542|4850|136
Rec(t='1490030063.45', event='commit_move', piece='y', move_nu='2', move='(0, 0, 3)', instance='Jam-2')|6|337|3794|2229|79
Rec(t='1490030081.68', event='commit_move', piece='c', move_nu='3', move='(3, 0, 2)', instance='Jam-2')|5|71|792|530|33
Rec(t='1490030084.4', event='commit_move', piece='g', move_nu='4', move='(3, 4, 2)', instance='Jam-2')|4|29|315|220|20
Rec(t='1490030086.83', event='commit_move', piece='o', move_nu='5', move='(5, 3, 3)', instance='Jam-2')|3|5|48|39|5
Rec(t='1490030089.05', event='commit_move', piece='M', move_nu='6', move='(4, 0, 2)', instance='Jam-2')|2|3|30|25|3
Rec(t='1490030091.12', event='commit_move', piece='r', move_nu='7', move='(4, 2, 2)', instance='Jam-2')|1|0|0|0|0
Rec(t='1490030091.12', event='win', piece='r', move_nu='7', move='(4, 2, 2)', instance='Jam-2')|1|0|0|0|0
Rec(t='1490030093.51', event='start', piece='None', move_nu='0', move='None', instance='Jam-3')|15|19237|192960|14533|578
Rec(t='1490030145.46', event='commit_move', piece='w', move_nu='0', move='(3, 0, 3)', instance='Jam-3')|14|10345|101204|11014|573
Rec(t='1490030148.53', event='commit_move', piece='b', move_nu='1', move='(3, 3, 2)', instance='Jam-3')|14|14098|138956|18660|570
Rec(t='1490030150.43', event='commit_move', piece='l', move_nu='2', move='(1, 3, 2)', instance='Jam-3')|13|12200|114441|5947|511
Rec(t='1490030160.52', event='restart', piece='B', move_nu='3', move='(2, 5, 2)', instance='Jam-3')|13|12475|116224|6110|511
Rec(t='1490030161.24', event='start', piece='None', move_nu='0', move='None', instance='Jam-3')|15|18597|188240|14596|571
Rec(t='1490030206.34', event='commit_move', piece='y', move_nu='0', move='(5, 0, 3)', instance='Jam-3')|14|16963|166482|15331|571
Rec(t='1490030208.89', event='commit_move', piece='B', move_nu='1', move='(4, 5, 2)', instance='Jam-3')|13|13135|127842|5063|578
Rec(t='1490030210.78', event='commit_move', piece='w', move_nu='2', move='(3, 3, 3)', instance='Jam-3')|13|9583|93027|4869|570
Rec(t='1490030217.86', event='restart', piece='r', move_nu='3', move='(1, 2, 2)', instance='Jam-3')|13|9921|95972|4918|571
Rec(t='1490030218.41', event='start', piece='None', move_nu='0', move='None', instance='Jam-3')|15|18697|188214|14450|570
Rec(t='1490030224.65', event='commit_move', piece='w', move_nu='0', move='(3, 0, 3)', instance='Jam-3')|14|10122|98993|10930|571
Rec(t='1490030227.59', event='commit_move', piece='b', move_nu='1', move='(3, 3, 2)', instance='Jam-3')|14|14912|146500|20101|578
Rec(t='1490030230.24', event='commit_move', piece='l', move_nu='2', move='(1, 3, 2)', instance='Jam-3')|13|12383|115859|6124|510
Rec(t='1490030232.85', event='commit_move', piece='y', move_nu='3', move='(5, 0, 3)', instance='Jam-3')|12|14085|130227|4234|512
Rec(t='1490030235.66', event='commit_move', piece='b', move_nu='4', move='(4, 3, 2)', instance='Jam-3')|11|7167|66419|3901|516
Rec(t='1490030238.91', event='commit_move', piece='B', move_nu='5', move='(0, 5, 2)', instance='Jam-3')|10|3026|28752|6444|420
Rec(t='1490030241.59', event='commit_move', piece='w', move_nu='6', move='(3, 3, 3)', instance='Jam-3')|9|913|8969|3901|208
Rec(t='1490030246.78', event='restart', piece='r', move_nu='7', move='(1, 2, 2)', instance='Jam-3')|9|927|9129|3894|206
Rec(t='1490030247.12', event='start', piece='None', move_nu='0', move='None', instance='Jam-3')|15|18662|188107|14513|572
Rec(t='1490030251.48', event='commit_move', piece='y', move_nu='0', move='(5, 2, 3)', instance='Jam-3')|15|25197|256227|39236|572
Rec(t='1490030254.1', event='commit_move', piece='B', move_nu='1', move='(4, 5, 2)', instance='Jam-3')|14|15849|155783|9409|573
Rec(t='1490030267.62', event='restart', piece='w', move_nu='2', move='(3, 2, 3)', instance='Jam-3')|14|15806|155830|9445|571
Rec(t='1490030268.19', event='start', piece='None', move_nu='0', move='None', instance='Jam-3')|15|19378|195241|14435|577
Rec(t='1490030272.32', event='commit_move', piece='y', move_nu='0', move='(5, 0, 3)', instance='Jam-3')|14|17763|174330|15335|571
Rec(t='1490030274.19', event='commit_move', piece='B', move_nu='1', move='(4, 5, 2)', instance='Jam-3')|13|13348|129953|4894|571
Rec(t='1490030277.18', event='commit_move', piece='w', move_nu='2', move='(3, 3, 3)', instance='Jam-3')|13|9732|94439|4937|570
Rec(t='1490030281.85', event='restart', piece='None', move_nu='3', move='None', instance='Jam-3')|13|9704|93997|4925|570
Rec(t='1490030283.08', event='start', piece='None', move_nu='0', move='None', instance='Jam-3')|15|18723|189070|14447|571
Rec(t='1490030288.43', event='commit_move', piece='w', move_nu='0', move='(3, 0, 3)', instance='Jam-3')|14|10079|98685|10934|570
Rec(t='1490030290.77', event='commit_move', piece='b', move_nu='1', move='(3, 3, 2)', instance='Jam-3')|14|14603|143465|19247|578
Rec(t='1490030293.4', event='commit_move', piece='l', move_nu='2', move='(1, 3, 2)', instance='Jam-3')|13|12172|114406|6048|513
Rec(t='1490030295.7', event='commit_move', piece='B', move_nu='3', move='(0, 5, 2)', instance='Jam-3')|12|7451|69814|3708|453
Rec(t='1490030298.87', event='commit_move', piece='y', move_nu='4', move='(5, 0, 3)', instance='Jam-3')|11|7029|65284|4919|453
Rec(t='1490030300.96', event='commit_move', piece='b', move_nu='5', move='(4, 3, 2)', instance='Jam-3')|10|2931|27858|6254|420
Rec(t='1490030307.44', event='commit_move', piece='w', move_nu='6', move='(3, 3, 3)', instance='Jam-3')|9|946|9260|3912|207
Rec(t='1490030309.74', event='commit_move', piece='r', move_nu='7', move='(3, 2, 2)', instance='Jam-3')|8|364|3518|1585|128
Rec(t='1490030314.9', event='restart', piece='None', move_nu='8', move='None', instance='Jam-3')|8|383|3635|1602|131
Rec(t='1490030315.78', event='start', piece='None', move_nu='0', move='None', instance='Jam-3')|15|18820|190136|14699|573
Rec(t='1490030328.8', event='commit_move', piece='y', move_nu='0', move='(5, 2, 3)', instance='Jam-3')|15|25699|261000|39144|574
Rec(t='1490030331.45', event='commit_move', piece='B', move_nu='1', move='(4, 5, 2)', instance='Jam-3')|14|16074|158080|9412|572
Rec(t='1490030333.42', event='commit_move', piece='w', move_nu='2', move='(3, 3, 3)', instance='Jam-3')|14|12334|120973|9371|571
Rec(t='1490030336.14', event='commit_move', piece='r', move_nu='3', move='(3, 2, 2)', instance='Jam-3')|15|12261|127046|15069|571
Rec(t='1490030343.69', event='restart', piece='y', move_nu='4', move='(5, 2, 3)', instance='Jam-3')|15|12730|131999|27146|570
Rec(t='1490030344.73', event='start', piece='None', move_nu='0', move='None', instance='Jam-3')|15|18589|187784|14532|578
Rec(t='1490030354.68', event='commit_move', piece='w', move_nu='0', move='(3, 0, 3)', instance='Jam-3')|14|9927|97266|10931|570
Rec(t='1490030357.28', event='commit_move', piece='b', move_nu='1', move='(3, 3, 2)', instance='Jam-3')|14|14770|144813|19333|578
