Rec(t='1490117725.97', event='start', piece='None', move_nu='0', move='None', instance='Jam-2')|9|6330|64008|16101|420
Rec(t='1490117745.19', event='commit_move', piece='m', move_nu='0', move='(4, 5, 2)', instance='Jam-2')|10|32666|337449|76428|712
Rec(t='1490117747.66', event='commit_move', piece='c', move_nu='1', move='(3, 4, 2)', instance='Jam-2')|10|13618|132639|39164|583
Rec(t='1490117761.77', event='commit_move', piece='y', move_nu='2', move='(1, 0, 3)', instance='Jam-2')|10|19331|187757|54423|691
Rec(t='1490117763.58', event='commit_move', piece='M', move_nu='3', move='(4, 0, 2)', instance='Jam-2')|9|3544|34139|12492|385
Rec(t='1490117783.09', event='commit_move', piece='w', move_nu='4', move='(2, 3, 3)', instance='Jam-2')|10|7063|68752|13793|516
Rec(t='1490117785.09', event='commit_move', piece='r', move_nu='5', move='(1, 2, 2)', instance='Jam-2')|9|2798|26571|10960|298
Rec(t='1490117786.64', event='commit_move', piece='b', move_nu='6', move='(0, 3, 2)', instance='Jam-2')|9|1828|17576|7054|244
Rec(t='1490117788.26', event='commit_move', piece='y', move_nu='7', move='(0, 0, 3)', instance='Jam-2')|8|330|3289|1783|112
Rec(t='1490117802.84', event='commit_move', piece='b', move_nu='8', move='(0, 1, 2)', instance='Jam-2')|7|175|1824|1122|79
Rec(t='1490117805.3', event='commit_move', piece='w', move_nu='9', move='(0, 3, 3)', instance='Jam-2')|6|125|1368|877|57
Rec(t='1490117807.89', event='commit_move', piece='c', move_nu='10', move='(3, 0, 2)', instance='Jam-2')|5|83|962|640|32
Rec(t='1490117809.89', event='commit_move', piece='g', move_nu='11', move='(3, 4, 2)', instance='Jam-2')|4|28|331|238|19
Rec(t='1490117811.09', event='commit_move', piece='m', move_nu='12', move='(3, 5, 2)', instance='Jam-2')|3|9|110|88|9
Rec(t='1490117812.74', event='commit_move', piece='o', move_nu='13', move='(5, 3, 3)', instance='Jam-2')|2|1|12|12|1
Rec(t='1490117814.19', event='commit_move', piece='r', move_nu='14', move='(4, 2, 2)', instance='Jam-2')|2|0|0|0|0
Rec(t='1490117815.44', event='start', piece='None', move_nu='0', move='None', instance='Jam-3')|15|19011|191861|14628|578
Rec(t='1490117826.03', event='commit_move', piece='w', move_nu='0', move='(3, 0, 3)', instance='Jam-3')|14|10208|99706|10929|573
Rec(t='1490117827.7', event='commit_move', piece='b', move_nu='1', move='(2, 3, 2)', instance='Jam-3')|14|14065|138353|18782|571
Rec(t='1490117837.6', event='commit_move', piece='l', move_nu='2', move='(1, 3, 2)', instance='Jam-3')|13|12160|113911|5960|511
Rec(t='1490117839.9', event='commit_move', piece='B', move_nu='3', move='(0, 5, 2)', instance='Jam-3')|12|7325|69218|4084|455
Rec(t='1490117850.48', event='commit_move', piece='y', move_nu='4', move='(5, 0, 3)', instance='Jam-3')|11|7051|65506|5026|453
Rec(t='1490117852.08', event='commit_move', piece='b', move_nu='5', move='(4, 3, 2)', instance='Jam-3')|10|2951|28133|6267|420
Rec(t='1490117853.61', event='commit_move', piece='w', move_nu='6', move='(3, 3, 3)', instance='Jam-3')|9|919|9026|3930|206
Rec(t='1490117865.45', event='restart', piece='None', move_nu='7', move='None', instance='Jam-3')|9|1028|10333|4528|214
Rec(t='1490117866.68', event='start', piece='None', move_nu='0', move='None', instance='Jam-3')|15|18631|187971|14518|577
Rec(t='1490117897.82', event='commit_move', piece='w', move_nu='0', move='(3, 0, 3)', instance='Jam-3')|14|10139|99422|10953|570
Rec(t='1490117899.05', event='commit_move', piece='b', move_nu='1', move='(2, 3, 2)', instance='Jam-3')|14|14607|143611|19661|578
Rec(t='1490117900.28', event='commit_move', piece='l', move_nu='2', move='(1, 3, 2)', instance='Jam-3')|13|12140|113781|5942|512
Rec(t='1490117912.47', event='commit_move', piece='B', move_nu='3', move='(3, 5, 2)', instance='Jam-3')|13|12343|115581|6033|517
Rec(t='1490117916.09', event='commit_move', piece='l', move_nu='4', move='(1, 4, 2)', instance='Jam-3')|14|14013|138081|10687|570
Rec(t='1490117942.19', event='commit_move', piece='b', move_nu='5', move='(0, 3, 2)', instance='Jam-3')|14|10126|99138|11014|570
Rec(t='1490117945.32', event='commit_move', piece='y', move_nu='6', move='(5, 0, 3)', instance='Jam-3')|13|11838|113590|10941|572
Rec(t='1490117948.29', event='commit_move', piece='B', move_nu='7', move='(4, 5, 2)', instance='Jam-3')|12|9165|86830|4993|576
Rec(t='1490117950.53', event='commit_move', piece='w', move_nu='8', move='(3, 3, 3)', instance='Jam-3')|13|9700|93977|2862|570
Rec(t='1490117964.17', event='commit_move', piece='w', move_nu='9', move='(3, 0, 3)', instance='Jam-3')|12|9302|87988|4905|572
Rec(t='1490117968.14', event='commit_move', piece='B', move_nu='10', move='(2, 5, 2)', instance='Jam-3')|13|11781|112951|6260|570
Rec(t='1490117971.62', event='commit_move', piece='b', move_nu='11', move='(3, 3, 2)', instance='Jam-3')|13|13972|134543|14032|573
Rec(t='1490117974.12', event='commit_move', piece='l', move_nu='12', move='(1, 3, 2)', instance='Jam-3')|12|14521|134137|4182|510
Rec(t='1490117975.75', event='commit_move', piece='B', move_nu='13', move='(0, 5, 2)', instance='Jam-3')|11|7066|65546|5535|456
Rec(t='1490117978.06', event='commit_move', piece='b', move_nu='14', move='(4, 3, 2)', instance='Jam-3')|10|2901|27365|5756|420
Rec(t='1490117979.97', event='commit_move', piece='w', move_nu='15', move='(3, 3, 3)', instance='Jam-3')|9|936|9187|3941|207
Rec(t='1490117999.6', event='commit_move', piece='r', move_nu='16', move='(2, 2, 2)', instance='Jam-3')|8|378|3668|1699|136
Rec(t='1490118003.45', event='commit_move', piece='l', move_nu='17', move='(1, 0, 2)', instance='Jam-3')|7|278|2785|1324|112
Rec(t='1490118005.05', event='commit_move', piece='r', move_nu='18', move='(0, 2, 2)', instance='Jam-3')|6|139|1457|863|69
Rec(t='1490118008.66', event='commit_move', piece='w', move_nu='19', move='(3, 0, 3)', instance='Jam-3')|5|93|1080|692|57
Rec(t='1490118020.16', event='commit_move', piece='b', move_nu='20', move='(0, 3, 2)', instance='Jam-3')|4|37|442|319|26
Rec(t='1490118021.71', event='commit_move', piece='w', move_nu='21', move='(3, 3, 3)', instance='Jam-3')|3|9|96|74|9
Rec(t='1490118023.6', event='commit_move', piece='y', move_nu='22', move='(5, 3, 3)', instance='Jam-3')|2|4|46|39|4
Rec(t='1490118025.46', event='commit_move', piece='r', move_nu='23', move='(4, 2, 2)', instance='Jam-3')|2|0|0|0|0
Rec(t='1490117598.97', event='start', piece='None', move_nu='0', move='None', instance='Jam-1')|9|2782|31920|6501|309
Rec(t='1490117612.14', event='commit_move', piece='w', move_nu='0', move='(1, 0, 2)', instance='Jam-1')|8|994|11623|6702|122
Rec(t='1490117617.36', event='commit_move', piece='b', move_nu='1', move='(0, 0, 3)', instance='Jam-1')|7|485|5609|3288|93
Rec(t='1490117622.56', event='commit_move', piece='y', move_nu='2', move='(0, 3, 2)', instance='Jam-1')|6|199|2247|1374|65
Rec(t='1490117624.85', event='commit_move', piece='B', move_nu='3', move='(0, 5, 3)', instance='Jam-1')|5|64|680|446|40
Rec(t='1490117627.31', event='commit_move', piece='l', move_nu='4', move='(3, 3, 3)', instance='Jam-1')|6|188|1716|460|67
Rec(t='1490117638.79', event='commit_move', piece='r', move_nu='5', move='(3, 2, 2)', instance='Jam-1')|7|217|1969|513|67
Rec(t='1490117688.16', event='commit_move', piece='r', move_nu='6', move='(2, 2, 2)', instance='Jam-1')|7|201|1813|811|65
Rec(t='1490117696.52', event='commit_move', piece='r', move_nu='7', move='(1, 2, 2)', instance='Jam-1')|6|170|1516|698|64
Rec(t='1490117701.3', event='commit_move', piece='l', move_nu='8', move='(3, 1, 3)', instance='Jam-1')|5|59|627|417|37
Rec(t='1490117714.76', event='commit_move', piece='c', move_nu='9', move='(1, 4, 2)', instance='Jam-1')|4|35|390|258|24
Rec(t='1490117717.41', event='commit_move', piece='l', move_nu='10', move='(3, 3, 3)', instance='Jam-1')|3|11|105|76|11
Rec(t='1490117719.41', event='commit_move', piece='r', move_nu='11', move='(3, 2, 2)', instance='Jam-1')|3|9|75|53|9
Rec(t='1490117721.56', event='commit_move', piece='M', move_nu='12', move='(5, 3, 3)', instance='Jam-1')|2|5|48|38|5
Rec(t='1490117722.44', event='commit_move', piece='r', move_nu='13', move='(4, 2, 2)', instance='Jam-1')|2|0|0|0|0
Rec(t='1490118093.23', event='start', piece='None', move_nu='0', move='None', instance='Jam-6')|10|4834|50044|12242|421
Rec(t='1490118116.31', event='commit_move', piece='g', move_nu='0', move='(2, 4, 2)', instance='Jam-6')|10|2537|25386|11366|383
Rec(t='1490118117.38', event='commit_move', piece='B', move_nu='1', move='(1, 3, 2)', instance='Jam-6')|10|1400|12998|5196|237
Rec(t='1490118118.41', event='commit_move', piece='M', move_nu='2', move='(1, 1, 2)', instance='Jam-6')|9|442|4311|2309|130
Rec(t='1490118119.61', event='commit_move', piece='b', move_nu='3', move='(1, 0, 2)', instance='Jam-6')|9|722|7433|3805|189
Rec(t='1490118124.78', event='commit_move', piece='l', move_nu='4', move='(0, 0, 2)', instance='Jam-6')|8|329|3551|2129|84
Rec(t='1490118139.79', event='commit_move', piece='B', move_nu='5', move='(0, 3, 2)', instance='Jam-6')|7|248|2690|1588|74
Rec(t='1490118141.0', event='commit_move', piece='g', move_nu='6', move='(2, 3, 2)', instance='Jam-6')|6|187|2069|1250|59
Rec(t='1490118142.49', event='commit_move', piece='m', move_nu='7', move='(0, 5, 3)', instance='Jam-6')|5|126|1395|851|46
Rec(t='1490118144.17', event='commit_move', piece='w', move_nu='8', move='(3, 3, 3)', instance='Jam-6')|4|40|444|292|26
Rec(t='1490118145.66', event='commit_move', piece='y', move_nu='9', move='(4, 3, 3)', instance='Jam-6')|3|11|128|98|11
Rec(t='1490118147.19', event='commit_move', piece='o', move_nu='10', move='(5, 3, 3)', instance='Jam-6')|2|2|24|22|2
Rec(t='1490118148.06', event='commit_move', piece='r', move_nu='11', move='(4, 2, 2)', instance='Jam-6')|2|0|0|0|0
Rec(t='1490118150.18', event='start', piece='None', move_nu='0', move='None', instance='Jam-7')|14|296515|3189632|79739|2794
Rec(t='1490118169.07', event='commit_move', piece='l', move_nu='0', move='(5, 3, 2)', instance='Jam-7')|13|271666|2979858|214729|2304
Rec(t='1490118170.02', event='commit_move', piece='c', move_nu='1', move='(4, 1, 2)', instance='Jam-7')|13|367721|4002440|300283|2633
Rec(t='1490118171.27', event='commit_move', piece='B', move_nu='2', move='(5, 1, 2)', instance='Jam-7')|12|395055|4175514|494713|2463
Rec(t='1490118174.75', event='commit_move', piece='y', move_nu='3', move='(4, 0, 2)', instance='Jam-7')|11|175875|1928149|358907|2349
Rec(t='1490118176.02', event='commit_move', piece='M', move_nu='4', move='(3, 0, 2)', instance='Jam-7')|10|52636|600429|154035|1865
Rec(t='1490118223.53', event='commit_move', piece='r', move_nu='5', move='(2, 2, 2)', instance='Jam-7')|9|26590|318309|92927|1468
Rec(t='1490118225.65', event='commit_move', piece='b', move_nu='6', move='(1, 4, 2)', instance='Jam-7')|8|14701|198137|72843|1030
Rec(t='1490118236.82', event='commit_move', piece='c', move_nu='7', move='(4, 4, 2)', instance='Jam-7')|7|2789|31881|12346|459
Rec(t='1490118274.42', event='commit_move', piece='r', move_nu='8', move='(0, 2, 2)', instance='Jam-7')|6|724|9142|4897|226
Rec(t='1490118279.51', event='commit_move', piece='g', move_nu='9', move='(0, 3, 2)', instance='Jam-7')|6|811|10790|6167|242
Rec(t='1490118280.79', event='commit_move', piece='M', move_nu='10', move='(3, 2, 2)', instance='Jam-7')|5|131|1945|1414|72
Rec(t='1490118282.24', event='commit_move', piece='y', move_nu='11', move='(0, 0, 2)', instance='Jam-7')|4|47|728|586|33
Rec(t='1490118283.36', event='commit_move', piece='B', move_nu='12', move='(5, 0, 2)', instance='Jam-7')|3|20|331|279|18
Rec(t='1490118285.59', event='commit_move', piece='M', move_nu='13', move='(3, 0, 2)', instance='Jam-7')|2|4|61|54|4
Rec(t='1490118286.94', event='commit_move', piece='r', move_nu='14', move='(4, 2, 2)', instance='Jam-7')|2|0|0|0|0
Rec(t='1490118028.05', event='start', piece='None', move_nu='0', move='None', instance='Jam-4')|10|163|1275|347|65
Rec(t='1490118036.57', event='commit_move', piece='l', move_nu='0', move='(0, 3, 3)', instance='Jam-4')|9|148|1183|588|64
Rec(t='1490118038.2', event='commit_move', piece='r', move_nu='1', move='(0, 2, 2)', instance='Jam-4')|8|120|1028|552|62
Rec(t='1490118040.1', event='commit_move', piece='b', move_nu='2', move='(2, 0, 2)', instance='Jam-4')|7|88|836|520|47
Rec(t='1490118047.06', event='commit_move', piece='r', move_nu='3', move='(1, 2, 2)', instance='Jam-4')|6|50|495|321|31
Rec(t='1490118048.49', event='commit_move', piece='l', move_nu='4', move='(0, 0, 3)', instance='Jam-4')|5|35|361|241|22
Rec(t='1490118050.33', event='commit_move', piece='w', move_nu='5', move='(0, 3, 3)', instance='Jam-4')|4|19|194|135|15
Rec(t='1490118052.99', event='commit_move', piece='c', move_nu='6', move='(0, 5, 3)', instance='Jam-4')|3|10|100|74|10
