subject, instance, optimal_length, move_number, move, pre_actions,meta_move, rt, trial_number, progress, distance_to_goal 
gianni.log,Jam-1,9,0,w@(1.0.2),2,commit_move,29.6500000954,1,1,8
gianni.log,Jam-1,9,1,b@(0.0.3),2,commit_move,3.24000000954,1,1,7
gianni.log,Jam-1,9,2,y@(0.3.2),2,commit_move,2.45000004768,1,1,6
gianni.log,Jam-1,9,3,B@(0.5.3),3,commit_move,3.36999988556,1,1,5
gianni.log,Jam-1,9,4,c@(1.4.2),4,commit_move,4.27999997139,1,1,4
gianni.log,Jam-1,9,5,l@(3.3.3),3,commit_move,2.72000002861,1,1,3
gianni.log,Jam-1,9,6,M@(5.3.3),4,commit_move,2.74000000954,1,1,2
gianni.log,Jam-1,9,7,r@(4.2.2),4,win,2.20000004768,1,1,1
gianni.log,Jam-2,9,0,r@(1.2.2),2,commit_move,29.4900000095,1,0,9
gianni.log,Jam-2,9,1,b@(0.1.2),2,commit_move,1.93000006676,1,2,7
gianni.log,Jam-2,9,2,y@(0.0.3),4,commit_move,7.26999998093,1,1,6
gianni.log,Jam-2,9,3,c@(3.0.2),2,commit_move,18.2300000191,1,1,5
gianni.log,Jam-2,9,4,g@(3.4.2),2,commit_move,2.72000002861,1,1,4
gianni.log,Jam-2,9,5,o@(5.3.3),3,commit_move,2.42999982834,1,1,3
gianni.log,Jam-2,9,6,M@(4.0.2),3,commit_move,2.22000002861,1,1,2
gianni.log,Jam-2,9,7,r@(4.2.2),4,win,2.06999993324,1,1,1
gianni.log,Jam-3,15,0,w@(3.0.3),4,commit_move,51.9500000477,1,1,14
gianni.log,Jam-3,15,1,b@(3.3.2),3,commit_move,3.06999993324,1,0,14
gianni.log,Jam-3,15,2,l@(1.3.2),2,commit_move,1.90000009537,1,1,13
gianni.log,Jam-3,15,0,y@(5.0.3),4,commit_move,45.0999999046,2,1,14
gianni.log,Jam-3,15,1,B@(4.5.2),3,commit_move,2.55000019073,2,1,13
gianni.log,Jam-3,15,2,w@(3.3.3),2,commit_move,1.88999986649,2,0,13
gianni.log,Jam-3,15,0,w@(3.0.3),3,commit_move,6.24000000954,3,1,14
gianni.log,Jam-3,15,1,b@(3.3.2),3,commit_move,2.9399998188,3,0,14
gianni.log,Jam-3,15,2,l@(1.3.2),2,commit_move,2.65000009537,3,1,13
gianni.log,Jam-3,15,3,y@(5.0.3),4,commit_move,2.6099998951,3,1,12
gianni.log,Jam-3,15,4,b@(4.3.2),2,commit_move,2.8100001812,3,1,11
gianni.log,Jam-3,15,5,B@(0.5.2),4,commit_move,3.25,3,1,10
gianni.log,Jam-3,15,6,w@(3.3.3),4,commit_move,2.67999982834,3,1,9
gianni.log,Jam-3,15,0,y@(5.2.3),2,commit_move,4.36000013351,4,0,15
gianni.log,Jam-3,15,1,B@(4.5.2),3,commit_move,2.61999988556,4,1,14
gianni.log,Jam-3,15,0,y@(5.0.3),4,commit_move,4.12999987602,5,1,14
gianni.log,Jam-3,15,1,B@(4.5.2),3,commit_move,1.87000012398,5,1,13
gianni.log,Jam-3,15,2,w@(3.3.3),2,commit_move,2.99000000954,5,0,13
gianni.log,Jam-3,15,0,w@(3.0.3),3,commit_move,5.35000014305,6,1,14
gianni.log,Jam-3,15,1,b@(3.3.2),4,commit_move,2.33999991417,6,0,14
gianni.log,Jam-3,15,2,l@(1.3.2),2,commit_move,2.63000011444,6,1,13
gianni.log,Jam-3,15,3,B@(0.5.2),3,commit_move,2.29999995232,6,1,12
gianni.log,Jam-3,15,4,y@(5.0.3),4,commit_move,3.16999983788,6,1,11
gianni.log,Jam-3,15,5,b@(4.3.2),2,commit_move,2.09000015259,6,1,10
gianni.log,Jam-3,15,6,w@(3.3.3),4,commit_move,6.48000001907,6,1,9
gianni.log,Jam-3,15,7,r@(3.2.2),4,commit_move,2.29999995232,6,1,8
gianni.log,Jam-3,15,0,y@(5.2.3),4,commit_move,13.0199999809,7,0,15
gianni.log,Jam-3,15,1,B@(4.5.2),3,commit_move,2.65000009537,7,1,14
gianni.log,Jam-3,15,2,w@(3.3.3),2,commit_move,1.97000002861,7,0,14
gianni.log,Jam-3,15,3,r@(3.2.2),3,commit_move,2.72000002861,7,-1,15
gianni.log,Jam-3,15,0,w@(3.0.3),3,commit_move,9.95000004768,8,1,14
gianni.log,Jam-3,15,1,b@(3.3.2),3,commit_move,2.59999990463,8,0,14
gianni.log,Jam-3,15,2,l@(1.3.2),2,commit_move,1.76999998093,8,1,13
gianni.log,Jam-3,15,3,B@(0.5.2),3,commit_move,5.94000005722,8,1,12
gianni.log,Jam-3,15,4,y@(5.0.3),4,commit_move,4.23000001907,8,1,11
gianni.log,Jam-3,15,5,b@(4.3.2),2,commit_move,9.58999991417,8,1,10
gianni.log,Jam-3,15,6,w@(3.3.3),4,commit_move,2.77999997139,8,1,9
gianni.log,Jam-3,15,7,r@(3.2.2),3,commit_move,2.12000012398,8,1,8
gianni.log,Jam-3,15,8,l@(1.0.2),4,commit_move,2.29999995232,8,1,7
gianni.log,Jam-3,15,9,r@(1.2.2),5,commit_move,3.31999993324,8,1,6
gianni.log,Jam-3,15,10,w@(3.0.3),5,commit_move,2.35000014305,8,1,5
gianni.log,Jam-3,15,11,b@(0.3.2),5,commit_move,2.06999993324,8,1,4
gianni.log,Jam-3,15,12,w@(3.3.3),4,commit_move,2.44000005722,8,1,3
gianni.log,Jam-3,15,13,y@(5.3.3),4,commit_move,2.25,8,1,2
gianni.log,Jam-3,15,14,r@(4.2.2),4,win,1.67999982834,8,1,1
gianni.log,Jam-4,10,0,l@(0.3.3),4,commit_move,8.5600001812,1,1,9
gianni.log,Jam-4,10,1,r@(0.2.2),3,commit_move,2.07999992371,1,1,8
gianni.log,Jam-4,10,2,b@(2.0.2),4,commit_move,2.74000000954,1,1,7
gianni.log,Jam-4,10,3,r@(1.2.2),2,commit_move,3.56999993324,1,1,6
gianni.log,Jam-4,10,4,l@(0.0.3),4,commit_move,2.85000014305,1,1,5
gianni.log,Jam-4,10,5,w@(0.3.3),5,commit_move,2.69999980927,1,1,4
gianni.log,Jam-4,10,6,c@(0.5.3),4,commit_move,2.36000013351,1,1,3
gianni.log,Jam-4,10,7,y@(3.3.3),4,commit_move,2.50999999046,1,1,2
gianni.log,Jam-4,10,8,r@(4.2.2),4,win,1.59999990463,1,1,1
gianni.log,Jam-5,10,0,b@(1.0.2),2,commit_move,10.1099998951,1,1,9
gianni.log,Jam-5,10,1,o@(0.0.3),2,commit_move,2.52999997139,1,1,8
gianni.log,Jam-5,10,2,M@(0.3.3),2,commit_move,3.45000004768,1,1,7
gianni.log,Jam-5,10,3,y@(3.3.3),4,commit_move,2.31999993324,1,-1,8
gianni.log,Jam-5,10,0,b@(1.0.2),2,commit_move,1.96000003815,2,1,9
gianni.log,Jam-5,10,1,o@(0.0.3),2,commit_move,1.70999979973,2,1,8
gianni.log,Jam-5,10,2,g@(1.4.2),4,commit_move,4.0,2,1,7
gianni.log,Jam-5,10,3,l@(1.5.2),4,commit_move,3.19000005722,2,1,6
gianni.log,Jam-5,10,4,M@(0.3.3),2,commit_move,2.04999995232,2,1,5
gianni.log,Jam-5,10,5,y@(3.3.3),4,commit_move,2.32000017166,2,1,4
gianni.log,Jam-5,10,6,w@(4.3.3),3,commit_move,2.39999985695,2,1,3
gianni.log,Jam-5,10,7,m@(5.4.2),3,commit_move,2.07000017166,2,1,2
gianni.log,Jam-5,10,8,r@(4.2.2),4,win,1.92999982834,2,1,1
gianni.log,Jam-6,10,0,r@(0.2.2),2,commit_move,9.0,1,0,10
gianni.log,Jam-6,10,1,g@(2.0.2),4,commit_move,2.18000006676,1,1,9
gianni.log,Jam-6,10,2,B@(1.3.2),2,commit_move,2.51999998093,1,1,8
gianni.log,Jam-6,10,3,l@(0.3.2),2,commit_move,1.88000011444,1,2,6
gianni.log,Jam-6,10,4,m@(0.5.3),4,commit_move,2.41999983788,1,1,5
gianni.log,Jam-6,10,5,w@(3.3.3),2,commit_move,2.95000004768,1,1,4
gianni.log,Jam-6,10,6,y@(4.3.3),4,commit_move,2.24000000954,1,1,3
gianni.log,Jam-6,10,7,o@(5.3.3),3,commit_move,2.12000012398,1,1,2
gianni.log,Jam-6,10,8,r@(4.2.2),5,win,1.90999984741,1,1,1
gianni.log,Jam-7,14,0,g@(0.3.2),3,commit_move,18.4199998379,1,-1,15
gianni.log,Jam-7,14,1,c@(4.4.2),5,commit_move,2.09000015259,1,1,14
gianni.log,Jam-7,14,2,l@(5.4.2),3,commit_move,5.31999993324,1,1,13
gianni.log,Jam-7,14,3,B@(5.2.2),3,commit_move,3.70000004768,1,1,12
gianni.log,Jam-7,14,4,y@(4.0.2),3,commit_move,4.37999987602,1,1,11
gianni.log,Jam-7,14,5,M@(3.0.2),2,commit_move,2.57000017166,1,1,10
gianni.log,Jam-7,14,6,r@(3.2.2),3,commit_move,2.58999991417,1,1,9
gianni.log,Jam-7,14,0,c@(4.4.2),5,commit_move,14.9099998474,2,1,13
gianni.log,Jam-7,14,1,l@(5.4.2),3,commit_move,2.40000009537,2,1,12
gianni.log,Jam-7,14,2,B@(5.2.2),3,commit_move,2.07999992371,2,1,11
gianni.log,Jam-7,14,3,y@(4.0.2),3,commit_move,4.44000005722,2,1,10
gianni.log,Jam-7,14,4,M@(3.0.2),2,commit_move,1.65000009537,2,1,9
gianni.log,Jam-7,14,5,g@(0.3.2),3,commit_move,5.63999986649,2,-1,10
gianni.log,Jam-7,14,6,r@(3.2.2),3,commit_move,2.99000000954,2,1,9
gianni.log,Jam-7,14,7,g@(2.3.2),3,commit_move,2.16000008583,2,1,8
gianni.log,Jam-7,14,8,b@(1.4.2),5,commit_move,2.70000004768,2,1,7
gianni.log,Jam-7,14,0,c@(4.4.2),6,commit_move,7.33999991417,3,1,13
gianni.log,Jam-7,14,1,l@(5.4.2),3,commit_move,1.91000008583,3,1,12
gianni.log,Jam-7,14,2,B@(5.2.2),3,commit_move,1.96999979019,3,1,11
gianni.log,Jam-7,14,3,y@(4.0.2),3,commit_move,3.87000012398,3,1,10
gianni.log,Jam-7,14,4,M@(3.0.2),2,commit_move,2.01999998093,3,1,9
gianni.log,Jam-7,14,5,r@(3.2.2),3,commit_move,2.21000003815,3,1,8
gianni.log,Jam-7,14,6,b@(1.4.2),5,commit_move,2.58999991417,3,1,7
gianni.log,Jam-7,14,7,r@(1.2.2),3,commit_move,3.08000016212,3,1,6
gianni.log,Jam-7,14,8,M@(3.1.2),2,commit_move,1.70999979973,3,1,5
