Rec(t='1489782576.65', event='start', piece='None', move_nu='0', move='None', instance='Jam-2') 10
Rec(t='1489782595.84', event='commit_move', piece='r', move_nu='0', move='(1, 2, 2)', instance='Jam-2') 9
Rec(t='1489782597.32', event='commit_move', piece='b', move_nu='1', move='(0, 1, 2)', instance='Jam-2') 7
Rec(t='1489782599.54', event='commit_move', piece='y', move_nu='2', move='(0, 0, 3)', instance='Jam-2') 6
Rec(t='1489782625.07', event='commit_move', piece='c', move_nu='3', move='(3, 0, 2)', instance='Jam-2') 5
Rec(t='1489782627.05', event='commit_move', piece='M', move_nu='4', move='(4, 0, 2)', instance='Jam-2') 4
Rec(t='1489782628.82', event='commit_move', piece='g', move_nu='5', move='(3, 4, 2)', instance='Jam-2') 3
Rec(t='1489782630.84', event='commit_move', piece='o', move_nu='6', move='(5, 3, 3)', instance='Jam-2') 2
Rec(t='1489782632.94', event='win', piece='r', move_nu='7', move='(4, 2, 2)', instance='Jam-2') 2
Rec(t='1489782635.59', event='start', piece='None', move_nu='0', move='None', instance='Jam-3') 15
Rec(t='1489782666.75', event='commit_move', piece='w', move_nu='0', move='(3, 0, 3)', instance='Jam-3') 14
Rec(t='1489782691.83', event='commit_move', piece='y', move_nu='1', move='(5, 0, 3)', instance='Jam-3') 13
Rec(t='1489782712.38', event='commit_move', piece='b', move_nu='2', move='(4, 3, 2)', instance='Jam-3') 12
Rec(t='1489782715.43', event='commit_move', piece='l', move_nu='3', move='(1, 3, 2)', instance='Jam-3') 11
Rec(t='1489782718.33', event='commit_move', piece='B', move_nu='4', move='(0, 5, 2)', instance='Jam-3') 10
Rec(t='1489782723.45', event='commit_move', piece='w', move_nu='5', move='(3, 3, 3)', instance='Jam-3') 9
Rec(t='1489782733.05', event='commit_move', piece='r', move_nu='6', move='(3, 2, 2)', instance='Jam-3') 8
Rec(t='1489782737.31', event='commit_move', piece='l', move_nu='7', move='(1, 0, 2)', instance='Jam-3') 7
Rec(t='1489782741.19', event='commit_move', piece='r', move_nu='8', move='(0, 2, 2)', instance='Jam-3') 6
Rec(t='1489782744.39', event='commit_move', piece='w', move_nu='9', move='(3, 0, 3)', instance='Jam-3') 5
Rec(t='1489782746.39', event='commit_move', piece='b', move_nu='10', move='(0, 3, 2)', instance='Jam-3') 4
Rec(t='1489782751.53', event='commit_move', piece='y', move_nu='11', move='(5, 3, 3)', instance='Jam-3') 3
Rec(t='1489782753.75', event='commit_move', piece='w', move_nu='12', move='(3, 3, 3)', instance='Jam-3') 2
Rec(t='1489782755.2', event='win', piece='r', move_nu='13', move='(4, 2, 2)', instance='Jam-3') 2
Rec(t='1489784111.12', event='start', piece='None', move_nu='0', move='None', instance='Jam-16') 27
Rec(t='1489784133.2', event='commit_move', piece='m', move_nu='0', move='(3, 5, 2)', instance='Jam-16') 27
Rec(t='1489784134.78', event='commit_move', piece='o', move_nu='1', move='(2, 3, 3)', instance='Jam-16') 26
Rec(t='1489784139.27', event='commit_move', piece='l', move_nu='2', move='(1, 4, 2)', instance='Jam-16') 25
Rec(t='1489784140.57', event='commit_move', piece='B', move_nu='3', move='(0, 4, 2)', instance='Jam-16') 22
Rec(t='1489784145.77', event='commit_move', piece='r', move_nu='4', move='(0, 2, 2)', instance='Jam-16') 23
Rec(t='1489784148.09', event='commit_move', piece='M', move_nu='5', move='(4, 1, 2)', instance='Jam-16') 22
