Rec(t='1490036743.97', event='start', piece='None', move_nu='0', move='None', instance='Jam-2') 10
Rec(t='1490036755.72', event='commit_move', piece='y', move_nu='0', move='(1, 0, 3)', instance='Jam-2') 9
Rec(t='1490036758.09', event='commit_move', piece='r', move_nu='1', move='(1, 2, 2)', instance='Jam-2') 8
Rec(t='1490036765.33', event='commit_move', piece='b', move_nu='2', move='(0, 1, 2)', instance='Jam-2') 7
Rec(t='1490036776.12', event='commit_move', piece='M', move_nu='3', move='(4, 0, 2)', instance='Jam-2') 6
Rec(t='1490036778.96', event='commit_move', piece='g', move_nu='4', move='(3, 4, 2)', instance='Jam-2') 5
Rec(t='1490036780.55', event='commit_move', piece='o', move_nu='5', move='(5, 3, 3)', instance='Jam-2') 4
Rec(t='1490036786.67', event='commit_move', piece='o', move_nu='6', move='(5, 0, 3)', instance='Jam-2') 5
Rec(t='1490036788.44', event='commit_move', piece='w', move_nu='7', move='(3, 3, 3)', instance='Jam-2') 6
Rec(t='1490036791.24', event='commit_move', piece='B', move_nu='8', move='(2, 3, 2)', instance='Jam-2') 7
Rec(t='1490036796.66', event='commit_move', piece='l', move_nu='9', move='(1, 5, 2)', instance='Jam-2') 8
Rec(t='1490036798.66', event='commit_move', piece='b', move_nu='10', move='(0, 4, 2)', instance='Jam-2') 9
Rec(t='1490036802.13', event='commit_move', piece='r', move_nu='11', move='(0, 2, 2)', instance='Jam-2') 8
Rec(t='1490036802.89', event='commit_move', piece='y', move_nu='12', move='(0, 0, 3)', instance='Jam-2') 7
Rec(t='1490036805.0', event='commit_move', piece='B', move_nu='13', move='(2, 1, 2)', instance='Jam-2') 8
Rec(t='1490036809.41', event='commit_move', piece='w', move_nu='14', move='(0, 3, 3)', instance='Jam-2') 9
Rec(t='1490036810.8', event='commit_move', piece='M', move_nu='15', move='(4, 1, 2)', instance='Jam-2') 10
Rec(t='1490036811.78', event='commit_move', piece='o', move_nu='16', move='(5, 1, 3)', instance='Jam-2') 12
Rec(t='1490036813.33', event='commit_move', piece='y', move_nu='17', move='(3, 0, 3)', instance='Jam-2') 7
Rec(t='1490036814.13', event='commit_move', piece='B', move_nu='18', move='(2, 0, 2)', instance='Jam-2') 6
Rec(t='1490036815.22', event='commit_move', piece='r', move_nu='19', move='(1, 2, 2)', instance='Jam-2') 6
Rec(t='1490036817.97', event='commit_move', piece='g', move_nu='20', move='(1, 4, 2)', instance='Jam-2') 5
Rec(t='1490036819.29', event='commit_move', piece='c', move_nu='21', move='(3, 3, 2)', instance='Jam-2') 4
Rec(t='1490036820.19', event='commit_move', piece='r', move_nu='22', move='(2, 2, 2)', instance='Jam-2') 4
Rec(t='1490036821.85', event='commit_move', piece='M', move_nu='23', move='(4, 3, 2)', instance='Jam-2') 3
Rec(t='1490036822.69', event='commit_move', piece='r', move_nu='24', move='(3, 2, 2)', instance='Jam-2') 3
Rec(t='1490036823.9', event='commit_move', piece='o', move_nu='25', move='(5, 3, 3)', instance='Jam-2') 2
Rec(t='1490036824.32', event='win', piece='r', move_nu='26', move='(4, 2, 2)', instance='Jam-2') 2
Rec(t='1490036826.38', event='start', piece='None', move_nu='0', move='None', instance='Jam-3') 15
Rec(t='1490036861.57', event='commit_move', piece='w', move_nu='0', move='(3, 0, 3)', instance='Jam-3') 14
Rec(t='1490036863.34', event='commit_move', piece='b', move_nu='1', move='(2, 3, 2)', instance='Jam-3') 14
Rec(t='1490036864.26', event='commit_move', piece='l', move_nu='2', move='(1, 3, 2)', instance='Jam-3') 13
Rec(t='1490036865.99', event='commit_move', piece='B', move_nu='3', move='(0, 5, 2)', instance='Jam-3') 12
Rec(t='1490036867.93', event='commit_move', piece='y', move_nu='4', move='(5, 0, 3)', instance='Jam-3') 11
Rec(t='1490036869.41', event='commit_move', piece='b', move_nu='5', move='(4, 3, 2)', instance='Jam-3') 10
Rec(t='1490036871.36', event='commit_move', piece='w', move_nu='6', move='(3, 3, 3)', instance='Jam-3') 9
Rec(t='1490036874.91', event='commit_move', piece='r', move_nu='7', move='(2, 2, 2)', instance='Jam-3') 8
Rec(t='1490036876.46', event='commit_move', piece='l', move_nu='8', move='(1, 0, 2)', instance='Jam-3') 7
Rec(t='1490036881.07', event='commit_move', piece='r', move_nu='9', move='(1, 2, 2)', instance='Jam-3') 6
Rec(t='1490036882.5', event='commit_move', piece='w', move_nu='10', move='(3, 0, 3)', instance='Jam-3') 5
Rec(t='1490036884.05', event='commit_move', piece='b', move_nu='11', move='(0, 3, 2)', instance='Jam-3') 4
Rec(t='1490036885.47', event='commit_move', piece='y', move_nu='12', move='(5, 3, 3)', instance='Jam-3') 3
Rec(t='1490036886.55', event='commit_move', piece='w', move_nu='13', move='(3, 3, 3)', instance='Jam-3') 2
Rec(t='1490036887.3', event='win', piece='r', move_nu='14', move='(4, 2, 2)', instance='Jam-3') 2
Rec(t='1490038282.7', event='start', piece='None', move_nu='0', move='None', instance='Jam-16') 28
Rec(t='1490038331.9', event='commit_move', piece='m', move_nu='0', move='(4, 5, 2)', instance='Jam-16') 25
Rec(t='1490038333.04', event='commit_move', piece='l', move_nu='1', move='(1, 4, 2)', instance='Jam-16') 25
