{'is_stop': 'expandLG1000', 'h': 'randh', 'expanded': 173, 'solution': 6, 'stops': 0, 'instance': 0, 'generated': 1410, 'entry': 'entry', 'close_size': 61, 'open_size': 472}
{'is_stop': 'expandLG1000', 'h': 'randh', 'expanded': 988, 'solution': 6, 'stops': 0, 'instance': 1, 'generated': 12192, 'entry': 'entry', 'close_size': 254, 'open_size': 4869}
{'is_stop': 'expandLG1000', 'h': 'randh', 'expanded': 1037, 'solution': 10, 'stops': 1, 'instance': 2, 'generated': 13238, 'entry': 'entry', 'close_size': 245, 'open_size': 6674}
{'is_stop': 'expandLG1000', 'h': 'randh', 'expanded': 1062, 'solution': 10, 'stops': 1, 'instance': 3, 'generated': 8851, 'entry': 'entry', 'close_size': 146, 'open_size': 442}
{'is_stop': 'expandLG1000', 'h': 'randh', 'expanded': 63170, 'solution': 278, 'stops': 1, 'instance': 4, 'generated': 614989, 'entry': 'entry', 'close_size': 148, 'open_size': 3494}
{'is_stop': 'expandLG1000', 'h': 'randh', 'expanded': 21, 'solution': 7, 'stops': 0, 'instance': 5, 'generated': 93, 'entry': 'entry', 'close_size': 17, 'open_size': 26}
{'is_stop': 'expandLG1000', 'h': 'randh', 'expanded': 626, 'solution': 9, 'stops': 0, 'instance': 6, 'generated': 6262, 'entry': 'entry', 'close_size': 222, 'open_size': 1579}
{'is_stop': 'expandLG1000', 'h': 'randh', 'expanded': 42346, 'solution': 181, 'stops': 1, 'instance': 7, 'generated': 448690, 'entry': 'entry', 'close_size': 222, 'open_size': 3125}
{'is_stop': 'expandLG1000', 'h': 'randh', 'expanded': 525, 'solution': 7, 'stops': 0, 'instance': 8, 'generated': 5656, 'entry': 'entry', 'close_size': 176, 'open_size': 1500}
{'is_stop': '<lambda>', 'h': 'rand_magsize', 'expanded': 170, 'solution': 6, 'stops': 0, 'instance': 0, 'generated': 1389, 'entry': 'entry', 'close_size': 60, 'open_size': 468}
{'is_stop': '<lambda>', 'h': 'rand_magsize', 'expanded': 956, 'solution': 6, 'stops': 0, 'instance': 1, 'generated': 11724, 'entry': 'entry', 'close_size': 238, 'open_size': 4487}
{'is_stop': '<lambda>', 'h': 'rand_magsize', 'expanded': 1284, 'solution': 8, 'stops': 0, 'instance': 2, 'generated': 16033, 'entry': 'entry', 'close_size': 250, 'open_size': 8070}
